Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
dhar1248,Dharumbal,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Terril 2002:31,Unmarked.,
dhar1248,Dharumbal,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Terril 2002:34-35,The grammar describes a split. Ergative mark is only in singular.,
dhar1248,Dharumbal,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Terril 2002:34-35,,
dhar1248,Dharumbal,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Terril 2002:34-35,,
dhar1248,Dharumbal,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Terril 2002:30,See example (4),
dhar1248,Dharumbal,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Terril 2002:,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on aspect.",
dhar1248,Dharumbal,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Terril 2002:,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on aspect.",
dhar1248,Dharumbal,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Terril 2002:30,See example (4),
dhar1248,Dharumbal,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Terril 2002:40,See example (51),
dhar1248,Dharumbal,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Terril 2002:31,See example (15),
dhar1248,Dharumbal,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Terril 2002:33,See example (27),
dhar1248,Dharumbal,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Terril 2002:30,No mention nor evidence of a split in case marking based on the realis-irrealis distinction. See example (4),
dhar1248,Dharumbal,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Terril 2002:33,No mention nor evidence of a split in case marking based on the realis-irrealis distinction. See example (27),
dhar1248,Dharumbal,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Terril 2002:30,See example (4),
dhar1248,Dharumbal,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Terril 2002:31,See example (15),
dhar1248,Dharumbal,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Terril 2002:in passim,No mention nor evidence of a topical split in case marking. ,
dhar1248,Dharumbal,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Terril 2002:in passim,No mention nor evidence of a topical split in case marking. ,
dhar1248,Dharumbal,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Terril 2002:30,No mention nor evidence of a split in case marking based on the animacity distinction. See example (4),
dhar1248,Dharumbal,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Terril 2002:in passim,No mention nor evidence of a split in case marking based on the realis-irrealis distinction. ,
dhar1248,Dharumbal,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Terril 2002:30,See example (4),
dhar1248,Dharumbal,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Terril 2002:,No mention nor evidence of a split in case marking based on the animacity distinction.,
dhar1248,Dharumbal,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Terril 2002:31,"""Occasionally accusative case is marked overtly on human nouns, with suffix -(n)a. The
factors conditioning the allomorphy are unknown. Holmer (1983:461) calls this an
'objective' case used for definite or specific animates in object function, with forms -nga
after a vowel, -a after a nasal and -na after a lateral or rhotic. However the following two
examples are the only ones I have seen in the data."" See examples (14-15)",
dhar1248,Dharumbal,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Terril 2002:29,,
dhar1248,Dharumbal,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Terril 2002:29,,
