Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
mono1273,Mono-Alu,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,"Meier 2020:8, Fagan 1986:102",If the patient precedes the verb the ga particle do not appear.,,,1
mono1273,Mono-Alu,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Meier 2020:290-291, 756","It is possible in bound personal pronouns: 1EXCL SG, 1EXCL PL and 1INCL PL,but no in 1INCL SG. It can also appear in independent pronouns when the absolutive argument is in focus.",verified,"Verified 1. Mono-Alu's basic alignment is nominative-accusative (Meier 2020:14), but the preposition ga (glossed obl.abs) shows rigid ergative-absolutive alignment: it heads an oblique coreferent with an ABSOLUTIVE argument (S or O) and is UNGRAMMATICAL with a transitive subject A (Meier 2020:12,14). This is a marked-absolutive ergative pattern (overt on S/O, zero on A), with S NOT split, hence not tripartite. 1st-person bound pronouns attach to ga: 1excl.sg -aha, 1excl.pl -ami(-ni), 1incl.pl -ita (Table 4.1, Meier 2020:291). Coding 1 confirmed.",1
mono1273,Mono-Alu,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Meier 2020:131, 290-291, 756",It is possible in bound personal pronouns. It can also appear in independent pronouns when the absolutive argument is in focus.,verified,"Verified 1. 2nd-person bound pronouns attach to ga: 2sg -o(-mo(-no)) (ex.624 ga-o-mo-no), 2pl -an (Table 4.1, Meier 2020:291). Same marked-absolutive ergative pattern (ga on S/O, ungrammatical with A); S not split, not tripartite. Coding 1 confirmed.",1
mono1273,Mono-Alu,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Meier 2020:290-291, 763","There is not personal pronuons of third person, but the language use demostrative forms instead and they do accept the ergative marking ga.",verified,"Verified 1, with nuance. No 3rd-person PERSONAL pronoun attaches to ga (3sg has no overt bound form; 3pl =ri is barred, Meier 2020:290-291). However 3rd-person absolutive referents are expressed by DEMONSTRATIVES, which do attach to ga (anaphoric ena: ex.625 ga-ena; proximal e: ex.626 ga-e). Since demonstratives carry the 3rd-person pronominal function in Mono-Alu (Meier 2020:8), 3rd-person absolutive referents are ga-markable. Same ergative-absolutive pattern, A excluded, not tripartite. Coding 1 retained.",1
mono1273,Mono-Alu,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Meier 2020:754,,verified,"Verified 1. Full NPs coreferent with an absolutive argument take ga (ex.622 ga tauPiPi 'child' [S], ga nihe 'snake' [S]; ex.623 ga niunu 'coconut' [patientive S]); ga is ungrammatical with a transitive subject A (Meier 2020:14,754). Marked-absolutive ergative alignment, S not split, not tripartite. Coding 1 confirmed.",1
mono1273,Mono-Alu,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Meier 2020:707, 713, 718","Found in examples (1634), (1649), (1659) and others.",,,1
mono1273,Mono-Alu,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Meier 2020:in passim,Only imperfective is marked.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
mono1273,Mono-Alu,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,Meier 2020:13,Tense is not marked.,,,?
mono1273,Mono-Alu,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Meier 2020:13,Tense is not marked.,,,?
mono1273,Mono-Alu,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Meier 2020:in passim,"There is not indicative mood in the language, the mood is described as realis, irrealis and counterfactual.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
