Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
drun1238,Drung,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Perlin 2019:105-111,The arguments S and O are not marked.,
drun1238,Drung,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Perlin 2019:74,,
drun1238,Drung,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Perlin 2019:75,,
drun1238,Drung,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Perlin 2019:76,,
drun1238,Drung,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Perlin 2019:105-111,There is no mention nor evidence of a split based on main clauses ,
drun1238,Drung,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Perlin 2019:161,See example (304),
drun1238,Drung,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Perlin 2019:161,See example (304),
drun1238,Drung,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Perlin 2019:161,See example (304),
drun1238,Drung,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Perlin 2019:105-111,There is no mention nor evidence of a split based on agentive A,
drun1238,Drung,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Perlin 2019:105-111,There is no mention nor evidence of a split based on topicality A,
drun1238,Drung,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Perlin 2019:105-111,There is no mention nor evidence of a split based on topicality A,
drun1238,Drung,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Perlin 2019:105-111,There is no mention nor evidence of a split based on animate- inanimate A,
drun1238,Drung,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Perlin 2019:108,See example (148),
drun1238,Drung,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Perlin 2019:105-111,There is no mention nor evidence of a split based on main clauses ,
drun1238,Drung,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Perlin 2019:105-111,,
drun1238,Drung,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Perlin 2019:78,,
drun1238,Drung,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Perlin 2019:104,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
