Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
nina1238,Ninam,Yanomaman,GB409_1,Is there an overt marker for the absolutive?,0,"Gomez:1990, 104-105; 129",It is the ergative which is marked by the nominal suffix -n on an agent or an instrument.,,,0
nina1238,Ninam,Yanomaman,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Gomez:1990, 130",,,,0
nina1238,Ninam,Yanomaman,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Gomez:1990, 130",,,,0
nina1238,Ninam,Yanomaman,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Gomez:1990, 47; 129",A subject in 3 person singular is not needed to be explicitly marked.,,,1
nina1238,Ninam,Yanomaman,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Gomez:1990, 47; 130","There might be a coexistance of ergative and accusative. However, purely accusative sentences do not occur.",,,1
nina1238,Ninam,Yanomaman,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Gomez:1990, 95",,,,1
nina1238,Ninam,Yanomaman,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Gomez:1990, 95",,,,1
nina1238,Ninam,Yanomaman,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Gomez:1990, 48; 93",,,,1
nina1238,Ninam,Yanomaman,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Gomez:1990, 47; 129",,,,1
nina1238,Ninam,Yanomaman,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Gomez:1990, 99",,,,1
nina1238,Ninam,Yanomaman,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Gomez:1990, 63; 106; 133",,,,0
nina1238,Ninam,Yanomaman,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Gomez:1990, 95",,,,1
nina1238,Ninam,Yanomaman,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Gomez:1990, 99",,,,0
nina1238,Ninam,Yanomaman,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nina1238,Ninam,Yanomaman,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nina1238,Ninam,Yanomaman,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,,,,No source reference provided. Recommend citing the grammar for this feature.,0
nina1238,Ninam,Yanomaman,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,,,,No source reference provided. Recommend citing the grammar for this feature.,0
nina1238,Ninam,Yanomaman,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Gomez:1990, 130",,,,1
nina1238,Ninam,Yanomaman,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,"Gomez:1990, 130",,,,0
nina1238,Ninam,Yanomaman,GB409_20,Is there ergative alignment of flagging in main clauses?,0,"Gomez:1990, 105; 131",,,,0
nina1238,Ninam,Yanomaman,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Gomez:1990, 105; 132",,,,1
nina1238,Ninam,Yanomaman,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,No source reference provided. Recommend citing the grammar for this feature.,0
nina1238,Ninam,Yanomaman,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,,No source reference provided. Recommend citing the grammar for this feature.,0
nina1238,Ninam,Yanomaman,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Gomez:1990, 76; 92; 129","The instrumental case of a noun is marked by -n. The predating subordinator is composed by ""ha… -n"", and it is frequently suppressed and only -n is expressed.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
