Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
noct1238,Nocte Naga,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,480-481,,,,0
noct1238,Nocte Naga,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"257-258, 480-481","Ergative alignment of flagging on first person plural pronoun.
""However, this split is being neutralized in the speech of the young generation, where we see only the Ergative-Absolutive alignment"". (257-258) ",,,0
noct1238,Nocte Naga,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"257-258, 480-481","Ergative alignment of flagging on second person plural pronoun.
""However, this split is being neutralized in the speech of the young generation, where we see only the Ergative-Absolutive alignment"". (257-258)",,,0
noct1238,Nocte Naga,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"257-258, 480-481","""However, this split is being neutralized in the speech of the young generation, where we see only the Ergative-Absolutive alignment"". (257-258)",,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"74, 470","""Examples (1064) through (1066) illustrate transitive clauses in which the A arguments are headed by nouns"". (470)",,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,,,,No source reference provided. Recommend citing the grammar for this feature.,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"219, 329","La lengua tiene la particula ná, glosada como PFV (perfectivo) (p. 349). Solo encontré un ejemplo de ergativo con esa particula (example 352, p. 219)

""Examples (656) and (657) illustrate the negative particle in the non-past proximal/inverse paradigm with the operator ra. These sentences also have the sense of perfectivity"". (329)",,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"466, 483","Examples (1056), (1099) and (1100)",,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"250, 329","Ejemplos del erg marcado en oraciones con ""The Non-Past Proximal/Inverse Operator"" (p. 341): (656–657) y (440).",,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,,,,No source reference provided. Recommend citing the grammar for this feature.,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,,No he identificado ejemplos suficientes en la gramática para responder.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
noct1238,Nocte Naga,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,0,,No hay referencia (directa o en la glosa de los ejemplos) a alguna marca de estatus de realidad (realis o irrealis),,No source reference provided. Recommend citing the grammar for this feature.,0
noct1238,Nocte Naga,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,,No hay referencia (directa o en la glosa de los ejemplos) a alguna marca de estatus de realidad (realis o irrealis),,No source reference provided. Recommend citing the grammar for this feature.,0
noct1238,Nocte Naga,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,483,Example (1099),,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,No he identificado ejemplos suficientes en la gramática para responder.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
noct1238,Nocte Naga,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,,No he identificado ejemplos suficientes en la gramática para responder.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
noct1238,Nocte Naga,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,,No he identificado ejemplos suficientes en la gramática para responder.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
noct1238,Nocte Naga,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,,La mayoría o todos los ejemplos son A animados ,,No source reference provided. Recommend citing the grammar for this feature.,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,,"No he identifiado ejemplos con marca de erg en un A inanimado, pero no creo que sea suficiente evidencia para poner 0. 

Es interesante considerar que la marca de erg es la misma que de instrumental (GB409_24) y, en  esa segunda función, ocurre con N inanimados. ",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
noct1238,Nocte Naga,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,,,,No source reference provided. Recommend citing the grammar for this feature.,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"250, 518-519",Ocurre en clausulas relativas (ejemplos 439-441) y subordinadas (ejemplos 1182-1183),,,1
noct1238,Nocte Naga,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,,"Creería que es 0, pero en la sección sobre los pronombres demostrativos se menciona que:

""Since the demonstrative pronouns are bound forms, they must take the definite marker. However, the long distal demonstrative pronoun can take the ergative marker kama instead of the definite marker [también considerado marca marca de caso nominativo (p. 480-481)] when referring to human beings"". (p. 227)",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
noct1238,Nocte Naga,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,"No hay referencia explícita a una marca de genitivo.
Las relaciones de posesión se marcan con prefijos o orden de palabras (440-445)",,No source reference provided. Recommend citing the grammar for this feature.,0
noct1238,Nocte Naga,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"257-258, 480-481","The case postposition kámá is found on both A and Instrument participants. (257) 
However, this split is being neutralized in the speech of the young generation, where we see only the Ergative-Absolutive alignment. (257-258)",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
