Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
doma1260,Domaaki,Indo-European,GB409_1,Is there an overt marker for the absolutive?,0,Lorimer 1939:47,Unmarked,,,0
doma1260,Domaaki,Indo-European,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Weinreich 2008:309,,,,0
doma1260,Domaaki,Indo-European,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Weinreich 2008:310,,,,0
doma1260,Domaaki,Indo-European,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Lorimer 1939:,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Lorimer 1939:47,,,,1
doma1260,Domaaki,Indo-European,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Lorimer 1939:47,,,,1
doma1260,Domaaki,Indo-European,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Lorimer 1939:47,,,,1
doma1260,Domaaki,Indo-European,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Lorimer 1939:47,,,,1
doma1260,Domaaki,Indo-European,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Lorimer 1939:47,,,,1
doma1260,Domaaki,Indo-European,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Lorimer 1939:47,,,,1
doma1260,Domaaki,Indo-European,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Lorimer 1939:38-47,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
doma1260,Domaaki,Indo-European,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Lorimer 1939:38-42,Case marking may or may not be ergative-absolutive depending on the number A.,,,1
doma1260,Domaaki,Indo-European,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Lorimer 1939:40;48,,,,0
doma1260,Domaaki,Indo-European,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Lorimer 1939:50,,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
