Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_1,Is there an overt marker for the absolutive?,"Yu, 2007",0,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Yu, 2007, cap. 3",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Yu, 2007, cap. 3",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Yu, 2007, cap. 3",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_5,Is there ergative alignment of flagging on full NPs?,"Yu, 2007, cap. 3",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Yu, 2007, cap. 5",1,El uso del marcador agentivo nɛ no está restringido por el aspecto verbal
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Yu, 2007, cap. 5",1,El uso del marcador agentivo nɛ no está restringido por el aspecto verbal
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_8,Is there ergative alignment of flagging in the past tense?,"Yu, 2007, p.178",1,marca opcional
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Yu, 2007, p.178",1,en presente siempre hay marca
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Yu, 2007, cap. 5",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_12,Is there ergative alignment of flagging in the realis status?,"Yu, 2007, cap. 5",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Yu, 2007, cap. 5",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Yu, 2007, cap. 4",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Yu, 2007, cap. 4",0,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Yu, 2007, cap. 7",0,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Yu, 2007, cap. 7",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Yu, 2007",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Yu, 2007",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_20,Is there ergative alignment of flagging in main clauses?,"Yu, 2007",1,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Yu, 2007, p.176",1,La marcación de caso ocurre dependiendo el contexto semántico y pragmático
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Yu, 2007, cap. 3",0,
hual1240,"VERIFICAR (PDF apunta a Lisu, no a Hualapai)",VERIFICAR,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Yu, 2007, cap. 4",1,"El marcador nɛ marca tanto al Agente como al Instrumento, pero el comitativo se expresa usualmente con –be o construcciones asociativas, no con nɛ."
