Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
djam1255,Jaminjung,Mirndi,GB409_1,Is there an overt marker for the absolutive?,0,Schultze-Berndt 2000:54-55,,,,0
djam1255,Jaminjung,Mirndi,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Schultze-Berndt 2000:64-65,See example (2-46).,,Ergative marking of independent pronouns is optional.,1
djam1255,Jaminjung,Mirndi,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Schultze-Berndt 2000:64-65,,,Ergative marking of independent pronouns is optional.,1
djam1255,Jaminjung,Mirndi,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Schultze-Berndt 2000:64-65,,,Ergative marking of independent pronouns is optional.,1
djam1255,Jaminjung,Mirndi,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Schultze-Berndt 2000:164-165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Schultze-Berndt 2000:,There is no mention nor evidence of a split based on aspect.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djam1255,Jaminjung,Mirndi,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Schultze-Berndt 2000:,There is no mention nor evidence of a split based on aspect.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djam1255,Jaminjung,Mirndi,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Schultze-Berndt 2000:165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Schultze-Berndt 2000:197,See example (4-53).,,,1
djam1255,Jaminjung,Mirndi,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Schultze-Berndt 2000:165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Schultze-Berndt 2000:392,See example (5-361).,,,1
djam1255,Jaminjung,Mirndi,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Schultze-Berndt 2000:165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Schultze-Berndt 2000:,There is no mention nor evidence of a split based on realis-irrealis status.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djam1255,Jaminjung,Mirndi,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Schultze-Berndt 2000:165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Schultze-Berndt 2000:113,See example (2-124).,,,1
djam1255,Jaminjung,Mirndi,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Schultze-Berndt 2000:,There is no mention nor evidence of a split based on topical,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djam1255,Jaminjung,Mirndi,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Schultze-Berndt 2000:,There is no mention nor evidence of a split based on topical,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djam1255,Jaminjung,Mirndi,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Schultze-Berndt 2000:165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Schultze-Berndt 2000:176,See example (4-27).,,,1
djam1255,Jaminjung,Mirndi,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Schultze-Berndt 2000:165,See example (4-12).,,,1
djam1255,Jaminjung,Mirndi,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Schultze-Berndt 2000:277,See example (5-127).,,,1
djam1255,Jaminjung,Mirndi,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Schultze-Berndt 2000:164-168,,,,0
djam1255,Jaminjung,Mirndi,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Schultze-Berndt 2000:54,,,,0
djam1255,Jaminjung,Mirndi,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Schultze-Berndt 2000:54; 60-61,Ergative and instrumental are marked by -ni ~ -di. Commitative has a different mark.,,,1
