Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
aime1238,Eibela,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,Aiton 2016: 176-179,There is an explicit marker for the absolutive case.,
aime1238,Eibela,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Aiton 2016: 117, 119, 177","First-person pronouns show split ergative alignment, since the pronoun naːnaː (non-volitional) is used for both the S-argument and the P-argument, while nɛː is employed for the A-argument.",
aime1238,Eibela,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Aiton 2016: 117, 119",Second-person pronouns exhibit split ergative alignment.,
aime1238,Eibela,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Aiton 2016: 80, 117, 270","Third-person pronouns do not exhibit ergative alignment, as there is only one form (ɛː) that is used for both A and S, following a nominative-accusative pattern.",
aime1238,Eibela,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Aiton 2016: 176-177, 179",Full NP's exhibit ergative-absolutive alignment.,
aime1238,Eibela,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Aiton 2016: 79,"Ergative marking can appear in clauses with imperfective aspect, since the case system remains active regardless of verbal aspect.",
aime1238,Eibela,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Aiton 2016: 177, 179, 231",Ergative alignment is evident in clauses with perfective aspect.,
aime1238,Eibela,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Aiton 2016: 177, 179, 360","Ergative alignment consistently appears in past-tense clauses, where transitive subjects are marked ergatively for pragmatic reasons, without distinction between types of past tense.",
aime1238,Eibela,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Aiton 2016: 129,Ergative alignment also appears in non-past tenses.,
aime1238,Eibela,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Aiton 2016: 177, 179, 360","In the indicative mood, ergative alignment is the primary marking strategy in transitive clauses.",
aime1238,Eibela,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Aiton 2016: 129, 248",Ergative alignment also appears in non-indicative moods.,
aime1238,Eibela,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Aiton 2016: 79, 177","In the realis status, ergative alignment is common, although its use depends on pragmatic factors.",
aime1238,Eibela,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Aiton 2016: 129, 248",Ergative alignment also occurs in irrealis status.,
aime1238,Eibela,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Aiton 2016: 177, 179",Ergative alignment prototypically applies to agentive A arguments. ,
aime1238,Eibela,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Aiton 2016: 185, 193",Ergative alignment does not apply to non-agentive A-arguments. Inanimate or uncontrolled causes are marked with the instrumental case (-kɛi).,
aime1238,Eibela,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Aiton 2016: 188,"Ergative alignment does hold for topical A-arguments, since topicality does not interfere with case marking.",
aime1238,Eibela,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Aiton 2016: 360-361,"Ergative alignment occurs when argument A is not topical, since in these contexts ergative marking serves a disambiguative function.",
aime1238,Eibela,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Aiton 2016: 177, 179, 360","Ergative alignment is primarily seen in animate arguments A, which typically play agentive and volitional roles. ",
aime1238,Eibela,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,"Aiton 2016: 185, 363","Inanimate agents are marked with the instrumental case, reserving the ergative for prototypically animate agents.",
aime1238,Eibela,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Aiton 2016: 179, 360","Ergative alignment is clearly evident in main clauses, where the A argument of a transitive clause is marked ergatively, and the S and O arguments are marked with the absolutive.",
aime1238,Eibela,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Aiton 2016: 315,"Ergative alignment also appears in non-main clauses, such as relative or dependent clauses. ",
aime1238,Eibela,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Aiton 2016: 179, 360 -361","Its use is optional and is conditioned by pragmatic factors to avoid ambiguity, such as the non-canonical order of constituents and the contrastive focus.",
aime1238,Eibela,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Aiton 2016:  80, 123, 178, 186","The ergative and the genitive are not generally expressed with the same marker, although there is a case of homophony in a specific context.",
aime1238,Eibela,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Aiton 2016: 174, 178, 185",The ergative case does not have the same marker as the instrumental or comitative marker.,
