Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
jeru1240,Jero,Trans-Himalayan,GB409_1,"Opgenort, 2005, 87",0,,,,0
jeru1240,Jero,Trans-Himalayan,GB409_2,"Opgenort, 2005, 88",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_3,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_4,"Opgenort, 2005, 187",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_5,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_6,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_7,"Opgenort, 2005, 198",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_8,"Opgenort, 2005, 198",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_9,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_10,"Opgenort, 2005, 187",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_11,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_12,"Opgenort, 2005, 187",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_13,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_14,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
jeru1240,Jero,Trans-Himalayan,GB409_16,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
jeru1240,Jero,Trans-Himalayan,GB409_18,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_19,"Opgenort, 2005, 192",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_20,"Opgenort, 2005, 210",1,,,,1
jeru1240,Jero,Trans-Himalayan,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
jeru1240,Jero,Trans-Himalayan,GB409_22,"Opgenort, 2005, 87",1,"La marcación es opcional, puede usarse para enfatizar.",,,1
jeru1240,Jero,Trans-Himalayan,GB409_23,"Opgenort, 2005, 293",0,,,,0
jeru1240,Jero,Trans-Himalayan,GB409_24,"Opgenort, 2005, 88",0,"""The source marker [(la marca de ergativo)] is often used in relation to instrumental and agent arguments"".",,,0
