Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
djin1251,Jingulu,Mirndi,GB409_1,Is there an overt marker for the absolutive?,0,Pensalfini 2003:56-58,,,,0
djin1251,Jingulu,Mirndi,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Pensalfini 2003:151,See table 5.3,,,1
djin1251,Jingulu,Mirndi,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Pensalfini 2003:151,See table 5.3,,,1
djin1251,Jingulu,Mirndi,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Pensalfini 2003:151,See table 5.3,,,0
djin1251,Jingulu,Mirndi,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Pensalfini 2003:176,See example (5.56a),,,1
djin1251,Jingulu,Mirndi,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Pensalfini 2003:176,See example (5.56a),,,1
djin1251,Jingulu,Mirndi,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Pensalfini 2003:in passim,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djin1251,Jingulu,Mirndi,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Pensalfini 2003:176,See example (5.56b),,,1
djin1251,Jingulu,Mirndi,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Pensalfini 2003:178,See example (5.58d),,,1
djin1251,Jingulu,Mirndi,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Pensalfini 2003:176,See example (5.56b),,,1
djin1251,Jingulu,Mirndi,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Pensalfini 2003:232,See example (6.31d),,,1
djin1251,Jingulu,Mirndi,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Pensalfini 2003:176,See example (5.56b),,,1
djin1251,Jingulu,Mirndi,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Pensalfini 2003:178,See example (5.58d),,,1
djin1251,Jingulu,Mirndi,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Pensalfini 2003:176,See example (5.56b),,,1
djin1251,Jingulu,Mirndi,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Pensalfini 2003:178,See example (5.58d),,,1
djin1251,Jingulu,Mirndi,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Pensalfini 2003:178,See example (5.60b),,,1
djin1251,Jingulu,Mirndi,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Pensalfini 2003:178,See example (5.58d),,,1
djin1251,Jingulu,Mirndi,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Pensalfini 2003:176,See example (5.56b),,,1
djin1251,Jingulu,Mirndi,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Pensalfini 2003:77,See example (4.1),,,1
djin1251,Jingulu,Mirndi,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Pensalfini 2003:176,See example (5.56b),,,1
djin1251,Jingulu,Mirndi,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Pensalfini 2003:,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djin1251,Jingulu,Mirndi,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Pensalfini 2003: ,,,,0
djin1251,Jingulu,Mirndi,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Pensalfini 2003:90,,,,0
djin1251,Jingulu,Mirndi,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Pensalfini 2003:188,,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
