Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
yami1258,Yaminawa,Panoan,GB409_1,Is there an overt marker for the absolutive?,0,Neely 2019,Absolutive = zero (unmarked); nouns in absolutive case bear no overt suffix,,,0
yami1258,Yaminawa,Panoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Neely 2019,1st person pronouns follow NOM/ACC alignment: ẽ (NOM=A/S) vs. ea (ACC=P); no ergative marking,,,0
yami1258,Yaminawa,Panoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Neely 2019,2nd person pronouns follow NOM/ACC alignment: mĩ (NOM=A/S) vs. bia (ACC=P); no ergative marking,,,0
yami1258,Yaminawa,Panoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Neely 2019,"3rd person pronouns: a (3SG, unmarked), atu (3PL.ABS); no distinct ergative pronoun form attested",,,0
yami1258,Yaminawa,Panoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Neely 2019,"Full NPs take ergative suffix -N (syncretic with instrumental) on A argument; e.g. tsua-N 'who-ERG', wede-N 'husband-ERG'",,,1
yami1258,Yaminawa,Panoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Neely 2019,Ergative marking on full NPs attested in imperfective contexts throughout corpus,,,1
yami1258,Yaminawa,Panoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Neely 2019,Ergative marking on full NPs attested in perfective contexts throughout corpus,,,1
yami1258,Yaminawa,Panoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Neely 2019,Ergative marking on full NPs attested in past tense contexts (PST1–PST6 all attested with -N),,,1
yami1258,Yaminawa,Panoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Neely 2019,Ergative marking on full NPs attested in non-past (future imperfective) contexts,,,1
yami1258,Yaminawa,Panoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Neely 2019,Ergative marking on full NPs attested in indicative mood contexts,,,1
yami1258,Yaminawa,Panoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Neely 2019,"Non-indicative moods (imperative, optative, hortative) not described for NP case alternations; unclear",,,1
yami1258,Yaminawa,Panoan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Neely 2019,Ergative marking on full NPs attested in realis contexts,,,1
yami1258,Yaminawa,Panoan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Neely 2019,Irrealis/desiderative contexts: no explicit description of NP case alternation; unclear,,,1
yami1258,Yaminawa,Panoan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Neely 2019,No evidence of agentivity-based split; ergative marking applies to A of transitive regardless of agentivity,,,1
yami1258,Yaminawa,Panoan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Neely 2019,No evidence of topicality-based split in NP flagging,,,1
yami1258,Yaminawa,Panoan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Neely 2019,No evidence of animacy-based split in NP flagging,,,1
yami1258,Yaminawa,Panoan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Neely 2019,Ergative marking on full NPs attested in main clauses,,,1
