Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
apin1244,Apinajé,Macro-Jê,GB409_1,Is there an overt marker for the absolutive?,1,"Cunha de Oliveira 2005: 115-116, 180, 208, 229",There is an explicit marker for the absolutive case.,
apin1244,Apinajé,Macro-Jê,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Cunha de Oliveira 2005: 208, 237, 286",First-person pronouns show ergative alignment.,
apin1244,Apinajé,Macro-Jê,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Cunha de Oliveira 2005: 208-271,Second-person pronouns show ergative alignment.,
apin1244,Apinajé,Macro-Jê,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Cunha de Oliveira 2005: 208, 284-285",Third-person pronouns show ergative alignment.,
apin1244,Apinajé,Macro-Jê,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Cunha de Oliveira 2005: 278, 281",Full NP's exhibit ergative alignment.,
apin1244,Apinajé,Macro-Jê,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Cunha de Oliveira 2005: 171, 230, 293",Ergative alignment does not present in the imperfective aspect.,
apin1244,Apinajé,Macro-Jê,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Cunha de Oliveira 2005: 171, 230",Ergative alignment does not occurs in the perfective aspect. ,
apin1244,Apinajé,Macro-Jê,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Cunha de Oliveira 2005: 171, 224",Ergative alignment does not occurs in past tense clauses.,
apin1244,Apinajé,Macro-Jê,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Cunha de Oliveira 2005: 224-225,Ergative alignment does not applied in non-past times.,
apin1244,Apinajé,Macro-Jê,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Cunha de Oliveira 2005: 170, 224, 230",Clauses in the indicative mood always follow a nominative alignment for arguments A and S.,
apin1244,Apinajé,Macro-Jê,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Cunha de Oliveira 2005: 226-227, 257",Non-indicative moods follow a nominative alignment pattern for free pronouns and do not use ergative case markers.,
apin1244,Apinajé,Macro-Jê,GB409_12,Is there ergative alignment of flagging in the realis status?,0,"Cunha de Oliveira 2005: 170, 224, 230",Clauses marked as realis always function as main clauses and exhibit nominative alignment for free pronouns and absence of case marking for NPs.,
apin1244,Apinajé,Macro-Jê,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Cunha de Oliveira 2005: 159, 224-225",Clauses in irrealis mode function as main clauses and use a specific set of free pronouns that follow a nominative alignment pattern.,
