Glottocode,Language,Feature,Original_value,Curated_value,Type,Comment
lezg1247,Lezgian,GB409_24,1,0,VALUE_CORRECTED,"Haspelmath (1993:84) explicitly states the instrumental use of ERG is never used in modern standard Lezgian; instrumental is expressed by Superelative/Superessive. Corrected to 0."
lezg1247,Lezgian,GB409_16,1,,MISSING_SOURCE,"No source reference. Value 1 consistent with uniform ergativity statement (Haspelmath 1993:5); recommend citing."
lezg1247,Lezgian,GB409_17,1,,MISSING_SOURCE,"No source reference. Same as GB409_16; recommend citing Haspelmath 1993:5."
lamj1247,Lamjung Yolmo,GB409_22,0,1,VALUE_CORRECTED,"Gawne (2016:67-68) explicitly states ergativity is conditioned by agentivity and tense/habitual mood. Corrected to 1."
lamj1247,Lamjung Yolmo,GB409_13,1,,EXAMPLE_CONCERN,"Cited Example 82 (p.137) is interrogative not prototypically irrealis; value retained but better example needed."
lamj1247,Lamjung Yolmo,GB409_17,1,,MISSING_SOURCE,"No source reference; value consistent with grammar description (Gawne 2016:67-68)."
lamj1247,Lamjung Yolmo,GB409_19,?,,MISSING_VALUE,"Value not filled; ergativity is agentivity-dependent, no clear inanimate-A example found. Researcher to verify."
lamj1247,Lamjung Yolmo,GB409_21,?,,MISSING_VALUE,"Value not filled; ERG in nominalized clauses attested (p.87 Ex.16); tentative value 1."
lemb1266,Lembena,GB409_13,1,,EXAMPLE_CONCERN,"Cited Example 212 (p.75) is negative declarative not irrealis; PDF has digit encoding shift (-1 per digit)."
lemb1266,Lembena,GB409_15,1,,UNVERIFIABLE,"PDF custom font encoding garbles text; Example 143 at p.62 could not be independently verified."
lemb1266,Lembena,GB409_16,1,,MISSING_SOURCE,"No source reference provided."
lemb1266,Lembena,GB409_17,1,,MISSING_SOURCE,"No source reference provided."
lemb1266,Lembena,GB409_22,0,,MISSING_SOURCE,"No source; value 0 (no conditioning) plausible but unverified due to PDF encoding issues."
lemb1266,Lembena,GB409_23,0,,MISSING_SOURCE,"No source; value 0 (ERG≠GEN) plausible; ERG clitic =l` visible throughout grammar."
lepc1244,Lepcha,GB409_1,0,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_2,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_3,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_4,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_5,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_6,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_7,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_8,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_9,1,,VALUE_FLAGGED,'Value 1 retained but flagged. No source reference. Plaisier (2010:128-129) explicitly states -nun~-n'
lepc1244,Lepcha,GB409_10,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_11,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_12,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_13,1,,VALUE_FLAGGED,'Value 1 retained but flagged. No source reference. Plaisier (2010:128-129) states -nun~-nu "is more '
lepc1244,Lepcha,GB409_14,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_15,1,,VALUE_FLAGGED,'Value 1 retained but flagged. Plaisier (2010:129) states that factors conditioning -nun~-nu include '
lepc1244,Lepcha,GB409_16,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_17,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_18,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
