Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
east2545,Eastern Pomo,Pomoan,GB409_1,Is there an overt marker for the absolutive?,1,Mclendon 1975: 177,Unmarked.,
east2545,Eastern Pomo,Pomoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,Mclendon 1975:177-181,"In these examples, pronouns do not receive case markings.",
east2545,Eastern Pomo,Pomoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Mclendon 1975:177-181,"In these examples, pronouns do not receive case markings.",
east2545,Eastern Pomo,Pomoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Mclendon 1975:177-181,"In these examples, pronouns do not receive case markings.",
east2545,Eastern Pomo,Pomoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Mclendon 1975:177-181,,
east2545,Eastern Pomo,Pomoan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Mclendon 1975:177-181,,
east2545,Eastern Pomo,Pomoan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Mclendon 1975:177-181,,
east2545,Eastern Pomo,Pomoan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Mclendon 1975:177-181,,
east2545,Eastern Pomo,Pomoan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Mclendon 1975:177-181,,
east2545,Eastern Pomo,Pomoan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Mclendon 1975:177-181,,
east2545,Eastern Pomo,Pomoan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Mclendon 1975: 177,,
east2545,Eastern Pomo,Pomoan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Mclendon 1975:177,The ergative split could occur in indefinite subjects.,
east2545,Eastern Pomo,Pomoan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Mclendon 1975:180,,
east2545,Eastern Pomo,Pomoan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Mclendon 1975:179,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
