Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
lemb1266,Lembena,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,Heineman 1998:86,
lemb1266,Lembena,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Heineman 1998:51,Example 101
lemb1266,Lembena,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Heineman 1998:77,Example 217
lemb1266,Lembena,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Heineman 1998:50,Example 96
lemb1266,Lembena,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Heineman 1998:51,Example 101
lemb1266,Lembena,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Heineman 1998:44,Example 83
lemb1266,Lembena,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Heineman 1998:93,Example 274
lemb1266,Lembena,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Heineman 1998:75,Example 212
lemb1266,Lembena,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Heineman 1998:62,Example 143
lemb1266,Lembena,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,
lemb1266,Lembena,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,
lemb1266,Lembena,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Heineman 1998:55,Example 119
lemb1266,Lembena,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Heineman 1998:44,Example 82
lemb1266,Lembena,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Heineman 1998:91,Example 263
lemb1266,Lembena,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
lemb1266,Lembena,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,
lemb1266,Lembena,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Heineman 1998:44,Example 82
