Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
bilb1241,Bilibil,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,Dempwolff 1909: 237-238,No overt absolutive marker; NOM-ACC language.,0,"In Bilibil (bilb1241, ISO bpz, Austronesian, PNG), grammatical relations are expressed through word order in a nominative-accusative pattern. Subjects are stated to be marked optionally with posposition ""mos"" and tend to take this marker when the object if fronted for emphasis, but this word order is not necessary for the subject to take this marker. The few examples available have ""mos"" marked on A arguments only; there is not enough evidence to assert that this is an ergative marker.  All 24 ERGON features are 0. Glottocode bilb1241 is correct (the filename was renamed from X_bilb1241=bilb1241.xlsx as part of Category E curation). File moved to non_ergative/.",0
bilb1241,Bilibil,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Dempwolff 1909: 241-242,First-person pronouns show nominative alignment; no distinct ERG form.,0,,0
bilb1241,Bilibil,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Dempwolff 1909: 241-244,Second-person pronouns show nominative alignment.,0,,0
bilb1241,Bilibil,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Dempwolff 1909: 242,Third-person pronouns show nominative alignment.,0,,0
bilb1241,Bilibil,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Dempwolff 1909: 237-238,Full NPs do not exhibit ergative alignment; grammatical relations marked by word order.,0,"In Bilibil (bilb1241, ISO bpz, Austronesian, PNG), grammatical relations are expressed through word order in a nominative-accusative pattern. Subjects are stated to be marked optionally with posposition ""mos"" and tend to take this marker when the object if fronted for emphasis, but this word order is not necessary for the subject to take this marker. The few examples available have ""mos"" marked on A arguments only; there is not enough evidence to assert that this is an ergative marker.  All 24 ERGON features are 0. Glottocode bilb1241 is correct (the filename was renamed from X_bilb1241=bilb1241.xlsx as part of Category E curation). File moved to non_ergative/.",0
bilb1241,Bilibil,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,Dempwolff 1909: 243-244,NOM-ACC language; no ergative alignment in any aspect.,0,,0
bilb1241,Bilibil,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,Dempwolff 1909: 243,NOM-ACC language; no ergative alignment in any aspect.,0,,0
bilb1241,Bilibil,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,Dempwolff 1909: 242-243,NOM-ACC language; no tense-based split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Dempwolff 1909: 243-244,NOM-ACC language; no tense-based split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,Dempwolff 1909: 242-243,NOM-ACC language; no mood-based split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Dempwolff 1909: 223, 244-245",NOM-ACC language; no mood-based split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,Dempwolff 1909: 242-243,NOM-ACC language; no realis-based split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,Dempwolff 1909: 243-245,NOM-ACC language; no irrealis-based split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Dempwolff 1909: 237-238, 241",No ergative marking on agentive A.,0,,0
bilb1241,Bilibil,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Dempwolff 1909: 241, 255",No ergative marking on non-agentive A.,0,,0
bilb1241,Bilibil,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Dempwolff 1909: 237-239,No topicality-based ergative split.,0,,0
bilb1241,Bilibil,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,Dempwolff 1909: 237-238,No topicality-based ergative split.,0,,0
