Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
bala1316,Nêlêmwa,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Ozanne-Rivierre 1998: 31, 35, 51-52",There is no explicit marker for the absolutive case.,
bala1316,Nêlêmwa,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Ozanne-Rivierre 1998: 40,First-person pronouns show nominative-accusative alignment.,
bala1316,Nêlêmwa,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Ozanne-Rivierre 1998: 40,Second-person pronouns show nominative-accusative alignment.,
bala1316,Nêlêmwa,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Ozanne-Rivierre 1998: 52,Third-person pronouns show ergative alignment.,
bala1316,Nêlêmwa,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Ozanne-Rivierre 1998: 51-52,Full NP's exhibit ergative alignment.,
bala1316,Nêlêmwa,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Ozanne-Rivierre 1998: 42, 50, 52",Ergative alignment occurs in the imperfective aspect. ,
bala1316,Nêlêmwa,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Ozanne-Rivierre 1998: 52-53,Ergative alignment occurs in the perfective aspect. ,
bala1316,Nêlêmwa,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Ozanne-Rivierre 1998: 52, 205",Ergative alignment occurs in past tense clauses.,
bala1316,Nêlêmwa,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Ozanne-Rivierre 1998: 40, 50, 57",Ergative alignment is applied in non-past times.,
bala1316,Nêlêmwa,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Ozanne-Rivierre 1998: 51-52,Ergative alignment occurs in sentences in the indicative mood.,
bala1316,Nêlêmwa,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Ozanne-Rivierre 1998: 52, 60",Ergative alignment occurs in sentences in the non-indicative mood.,
bala1316,Nêlêmwa,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Ozanne-Rivierre 1998: 51-53,Ergative alignment occurs in clauses with real status.,
bala1316,Nêlêmwa,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Ozanne-Rivierre 1998: 50, 52, 59, 118",Ergative alignment occurs in clauses with irrealis status.,
bala1316,Nêlêmwa,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Ozanne-Rivierre 1998: 52-53,Ergative alignment exists in the context of an agentive A argument.,
bala1316,Nêlêmwa,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Ozanne-Rivierre 1998: 53,Ergative alignment exists in the context of a non-agentive argument A.,
bala1316,Nêlêmwa,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Ozanne-Rivierre 1998: 52, 57, 205",Ergative alignment applies to topic arguments A.,
bala1316,Nêlêmwa,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Ozanne-Rivierre 1998: 52-53,Ergative alignment occurs when argument A is not the main topic of the sentence.,
bala1316,Nêlêmwa,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Ozanne-Rivierre 1998: 36, 51-53","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",
bala1316,Nêlêmwa,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Ozanne-Rivierre 1998: 51, 53",Ergative alignment occurs in clauses with an inanimate argument A.,
bala1316,Nêlêmwa,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Ozanne-Rivierre 1998: 51-52,Ergative alignment occurs in main clauses.,
bala1316,Nêlêmwa,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Ozanne-Rivierre 1998: 63, 220, 225",Non-principal clauses exhibit ergative alignment.,
bala1316,Nêlêmwa,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Ozanne-Rivierre 1998: 57,"The determining factor is thematization by preposition. Ergative alignment in the marking is strict in the basic VSO order. However, if the Agent (A) is emphasized or thematized by moving it to the initial position (before the verb, SVO structure), the ergative case marker is obligatorily removed.",
bala1316,Nêlêmwa,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Ozanne-Rivierre 1998: 52,"Although they are not synchronically identical in all contexts, the grammar explicitly states that the personal agent marker 'an' is morphologically derived from the genitive/possessive marker. Furthermore, in emphatic agent constructions, the agent marker base is productively combined with genitive suffixes.",
bala1316,Nêlêmwa,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Ozanne-Rivierre 1998: 53, 153",The ergative case has the same mark as the instrumental and comitative marker.,
