Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
isco1239,Iskonawa,Panoan,GB409_1,Is there an overt marker for the absolutive?,0,Zariquiey 2015: §5.2.2,"Absolutive is consistently unmarked (zero) for both nouns and pronouns. Ergative is overtly marked with nasal-bearing allomorphs (-n, -an, -man, -nin).",,,0
isco1239,Iskonawa,Panoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Zariquiey 2015: §5.2.1, Table 30",1st person singular (ena/eah/ea) and 1st person plural exclusive (enabo/eahbo/eabo) show TRIPARTITE alignment: A≠S≠P. Not ergative.,,,0
isco1239,Iskonawa,Panoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Zariquiey 2015: §5.2.1, Table 30","2nd person singular (mi/mi/mia) and plural (mibo/mibo/miabo) show ACCUSATIVE alignment: A=S≠P. Not ergative. Variation toward tripartite and ergative also attested (Table 31, Table 32).",,,0
isco1239,Iskonawa,Panoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Zariquiey 2015: §5.2.1, Table 30",3rd person singular (oaton/oa/oa) and plural (aboton/abo/abo) show ERGATIVE alignment: A≠S=P. 1st person plural inclusive (non(bo)/no(bo)/no(bo)) also ergative.,,,1
isco1239,Iskonawa,Panoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Zariquiey 2015: §5.2.2,"Full nouns systematically show ergative alignment: A is marked with nasal allomorphs (-n, -an, -man, -nin depending on syllable structure); S and P are unmarked (absolutive = zero). Variation toward neutral (unmarked A) also attested due to language obsolescence.",,,1
isco1239,Iskonawa,Panoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Zariquiey 2015: §5.2.2, §9.2",No aspect-conditioned split is described. Ergative marking on full NPs applies in both imperfective (-i) and perfective (-a) contexts.,,,1
isco1239,Iskonawa,Panoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Zariquiey 2015: §5.2.2, §9.2",No aspect-conditioned split is described. Ergative marking on full NPs applies in both perfective (-a) and imperfective (-i) contexts.,,,1
isco1239,Iskonawa,Panoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Zariquiey 2015: §5.2.2, §9.3","No tense-conditioned split is described. Iskonawa has a graded tense system (remote past, recent past, etc.) but none of these conditions ergative marking.",,,1
isco1239,Iskonawa,Panoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Zariquiey 2015: §5.2.2, §9.3",No tense-conditioned split is described. Ergative marking on full NPs applies in non-past contexts as well.,,,1
isco1239,Iskonawa,Panoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Zariquiey 2015: §5.2.2,No mood-conditioned split is described for full NPs. Ergative marking applies in indicative contexts.,,,1
isco1239,Iskonawa,Panoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Zariquiey 2015: §8.3.1, §9.4.2",Desiderative and immediate purpose constructions of transitive verbs take an S-type (absolutive) subject instead of an A-type (ergative) subject — a double-absolutive construction. This constitutes a split in the ergative pattern conditioned by irrealis/modal contexts.,,,0
