Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
alba1269,Bikol,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,"Fincke 2002: 57, 68, 79, 81, 84, 89","There is an explicit marker for the absolutive case and is called the ""trigger case"".",
alba1269,Bikol,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Fincke 2002: 70, 81, 83","The first-person pronouns (singular, inclusive plural, and exclusive plural) show a clear ergative-absolutive alignment.",
alba1269,Bikol,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Fincke 2002: 68, 81, 128",The second person pronouns (singular and plural) follow an ergative-absolutive alignment pattern.,
alba1269,Bikol,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Fincke 2002: 76, 81, 146",Third-person pronouns (both singular and plural) exhibit ergative-absolutive alignment. ,
alba1269,Bikol,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Fincke 2002: 84-86, 89-91",Full NP's follow an ergative-absolutive alignment system.,
alba1269,Bikol,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Fincke 2002: 57, 69, 193, 203",Ergative alignment in the case marking of arguments is consistent and maintained in clauses with imperfective aspect.,
alba1269,Bikol,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Fincke 2002: 70, 193, 203",Ergative alignment in case marking is consistent and is maintained in clauses with perfective aspect.,
alba1269,Bikol,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Fincke 2002: 61, 219","The ergative alignment system is consistently applied in clauses that refer to past events. It does not morphologically distinguish between past and present tense, but rather uses a broader category called ""commended tense,"" which encompasses both.",
alba1269,Bikol,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Fincke 2002: 47, 63-64, 193",The ergative-absolutive alignment remains solidly in times past.,
alba1269,Bikol,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Fincke 2002: 61, 91",Ergative alignment in case marking for declarative clauses (indicative mood) is presented.,
alba1269,Bikol,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Fincke 2002: 72, 145",The ergative-absolutive alignment system is maintained in non-indicative modes.,
alba1269,Bikol,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Fincke 2002: 69, 203",Ergative alignment in case marking is maintained in clauses with realis status.,
alba1269,Bikol,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Fincke 2002: 47, 49, 72",The ergative-absolutive alignment system is maintained in clauses with irrealis status.,
alba1269,Bikol,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Fincke 2002: 68, 86, 145","When argument A is a prototypical agent (volitional, initiating and controlling the action), it is consistently marked with the ergative case, while P and S are marked with the absolutive (trigger) case.",
alba1269,Bikol,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Fincke 2002: 60, 83, 86","Ergative alignment is maintained even when argument A is not a prototypical agent, as in the case of experiencers of perception or psychological verbs. ",
alba1269,Bikol,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,"Fincke 2002: 46, 56-57","The ""topic"" argument is the argument that is in the absolutive case (called the ""trigger case""). Argument A is always in the non-absolutive (ergative) case. ",
alba1269,Bikol,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Fincke 2002: 83, 86, 91",All arguments A (marked with ergative case) in transitive clauses are non-topic (or non-trigger).,
alba1269,Bikol,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Fincke 2002: 86, 91, 145",The ergative alignment system applies to clauses where argument A is animate (human or animal).,
alba1269,Bikol,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Fincke 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
alba1269,Bikol,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Fincke 2002: 57, 68",The ergative alignment system is maintained in main clauses.,
alba1269,Bikol,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Fincke 2002: 68, 110",The ergative alignment system is maintained in non-main clauses.,
alba1269,Bikol,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Fincke 2002: 113,"There is a case of split intransitivity conditioned by the clause type. Specifically, in conditional adverbial clauses introduced by the particle pag, the argument S is marked with the ergative case instead of the expected absolutive case.",
alba1269,Bikol,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Fincke 2002: 81, 84, 86, 91, 99-100","The marker used for the ergative function is the same as that used for the genitive function. This applies to personal pronouns, proper nouns, and common nouns.",
alba1269,Bikol,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Fincke 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
