Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
coeu1236,Coeur d'Alene,Salishan,GB409_1,Is there an overt marker for the absolutive?,1,Doak 1997:59,"ABS is not marked, but the clitic -ilš is used to distinguish S or P from the 3rd person plural. See Tables 1 and 2. See example (13)",,,1
coeu1236,Coeur d'Alene,Salishan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Doak 1997:56,74",See table (3)(7) con el oblicuo,,,1
coeu1236,Coeur d'Alene,Salishan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Doak 1997:56,74",See table (3)(7),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Doak 1997:56,74",See table (3)(7),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Doak 1997:234,See example (420),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Doak 1997:234,See example (420),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Doak 1997:in passim,There is no mention nor evidence of a split based on aspect in flagging.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,Doak 1997:in passim,There is no mention nor evidence of a split based on aspect in flagging.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Doak 1997:43,,,,1
coeu1236,Coeur d'Alene,Salishan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Doak 1997:234,See example (420),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Doak 1997:42,,,,1
coeu1236,Coeur d'Alene,Salishan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Doak 1997:234,See example (420),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Doak 1997:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Doak 1997:234,"See example (420), marca oblicuo",,,1
coeu1236,Coeur d'Alene,Salishan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Doak 1997:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Doak 1997:in passim,There is no mention nor evidence of a split based on topicality in flagging.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Doak 1997:in passim,There is no mention nor evidence of a split based on topicality in flagging.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Doak 1997:234,See example (420),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Doak 1997:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Doak 1997:234,See example (420),,,1
coeu1236,Coeur d'Alene,Salishan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Doak 1997:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coeu1236,Coeur d'Alene,Salishan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Doak 1997:in passim,There are no additional splits.,,,0
coeu1236,Coeur d'Alene,Salishan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Doak 1997:40,Genitive marking on intransitive constructions includes are different.,,,0
coeu1236,Coeur d'Alene,Salishan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Doak 1997:in passim,There are no examples in the source in order to corroborate this feature.,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
