Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
bawm1236,Bawm Chin,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"Reichle 1981: 7, 23, 25-26, 35",There is not explicit marker for the absolutive case.,,,0
bawm1236,Bawm Chin,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Reichle 1981: 24, 143-145",First-person pronouns show nominative-accusative alignment.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Reichle 1981: 67, 143-145",Second-person pronouns show nominative-accusative alignment.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Reichle 1981: 143-145,Third-person pronouns show ergative alignment.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Reichle 1981: 7, 26, 35-36, 51",Full NP's exhibit ergative alignment.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Reichle 1981: 14, 62",Ergative alignment occurs in the imperfective aspect. ,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Reichle 1981: 27, 62",Ergative alignment occurs in the perfective aspect. ,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Reichle 1981: 28, 61",Ergative alignment occurs in past tense clauses.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Reichle 1981: 48, 152",Ergative alignment is applied in non-past times.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Reichle 1981: 26, 36",Ergative alignment occurs in sentences in the indicative mood.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Reichle 1981: 49, 78, 158, 166",Ergative alignment occurs in sentences in the non-indicative mood.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Reichle 1981: 26-28, 36, 174",Ergative alignment occurs in clauses with real status.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Reichle 1981: 26, 48, 72, 78",Ergative alignment occurs in clauses with irrealis status.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Reichle 1981: 27-29, 35",Ergative alignment exists in the context of an agentive A argument.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Reichle 1981: 26-27,Ergative alignment exists in the context of a non-agentive argument A.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Reichle 1981: 26, 35-36, 152",Ergative alignment applies to topic arguments A.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Reichle 1981: 78, 158, 166",Ergative alignment occurs when argument A is not the main topic of the sentence.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Reichle 1981: 28, 36, 211","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Reichle 1981: 33, 72, 159, 193",Ergative alignment occurs in clauses with an inanimate argument A.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Reichle 1981: 26, 35-36, 211",Ergative alignment occurs in main clauses.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Reichle 1981: 72, 93, 106",Non-principal clauses exhibit ergative alignment.,,,1
bawm1236,Bawm Chin,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Reichle 1981: 29, 35-36",Ergative alignment is not conditioned by any other factor.,,,0
bawm1236,Bawm Chin,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Reichle 1981: 26, 39-40",The ergative case does not have the same mark as the genitive marker.,,,0
bawm1236,Bawm Chin,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Reichle 1981: 29, 32, 35, 127",The ergative case does not have the same marker as the instrumental or comitative marker.,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
