Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
nalc1240,Nalca,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,Svärd 2013:22,,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Svärd 2013:27,The pronouns seem to exhibit a nominative-accusative alignment.,verified,"Verified against Svard 2013:26-27 (sec.3.4, ex.37). Pronouns use one NOM series in -da for both S and A (e.g. alda buk-uk 'he sat' [S] vs. sikda ... o-m-ak 'they killed' [A]), so S=A. No ergative split on pronouns and not tripartite. Coding 0 confirmed. Footnote 15 raises but rejects a noun-like (erg-abs) reading of 1SG nara/nadya for lack of direct evidence; uniform 0 across persons retained.",0
nalc1240,Nalca,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Svärd 2013:27,The pronouns seem to exhibit a nominative-accusative alignment.,verified,Verified against Svard 2013:26-27. 2nd person patterns with the single NOM -da series (S=A); no ergative alignment and not tripartite. Coding 0 confirmed.,0
nalc1240,Nalca,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Svärd 2013:27,The pronouns seem to exhibit a nominative-accusative alignment.,verified,"Verified against Svard 2013:26-27 (ex.37a-d): 3rd person S and A are both NOM -da (alda/sikda); S=A, non-ergative and not tripartite. Coding 0 confirmed.",0
nalc1240,Nalca,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Svärd 2013:22,,verified,"Verified against Svard 2013:22 (sec.3.3.1, ex.29): nouns are ergative-absolutive. A=adya (ERG), S=ara (ABS), P=era/nera (ABS), so S=P with A distinct. Genuine ergativity, not tripartite. Coding 1 confirmed.",1
nalc1240,Nalca,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Svärd 2013:13,Found in example (13)a.,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Svärd 2013:17,Found in example (17)d.,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Svärd 2013:22,Found in example (29)a.,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Svärd 2013:13,Found in example (13)a.,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Svärd 2013:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Svärd 2013:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Svärd 2013:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Svärd 2013:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Svärd 2013:22,Found in example (29)b.,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Svärd 2013:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Svärd 2013:16, 29",Found in example (17)d.,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Svärd 2013:29,,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Svärd 2013:22,,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Svärd 2013:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Svärd 2013:22,,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Svärd 2013:in passim,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nalc1240,Nalca,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Svärd 2013:27,In pronouns there is not ergative-absolutive alignment,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Svärd 2013:22, 29",,,,1
nalc1240,Nalca,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Svärd 2013:in passim,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
