Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Pons 2022:347,Table 112. Absolutive is unmarked.,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Pons 2022:470,Ergative alignment is not affected. See example (560),,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Pons 2022:468,Ergative alignment is not affected. See example (557).,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Pons 2022:460,Ergative alignment is not affected. See example (541).,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Pons 2022:379, 395","Ergative alignment is not affected. See example (309), (295).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Pons 2022:381, 624","See example (314), (772), (774).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Pons 2022:381, 623","See example (315), (769).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Pons 2022:381, 623","See example (315), (769).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Pons 2022:379-380, 479","See examples (310), (579).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Pons 2022:350, 379, 381","See examples (309), (315).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Pons 2022:485,See example (588).,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Pons 2022: 625, 623",No mention nor evidence of a split in case marking based on the realis-irrealis distinction. See example (769) in past tense.,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Pons 2022: 625,  479",No mention nor evidence of a split in case marking based on the realis-irrealis distinction. See example (579) in future tense.,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Pons 2022:381, 395","See example (315), (295)",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Pons 2022:370, 468","Los verbos con experimentante y estímulo marcan al experimentante con absolutivo y al estímulo con dativo. Como los argumentos S se marcan con absolutivo, entonces se obtiene un alineamiento NOM-ACC.  See example (279). Otros verbos psicológicos siguen el alineamiento ERG-ABS (557).",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Pons 2022:in passim,There is no information about whether the topicality of A changes the alignment. ,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Pons 2022:in passim,There is no information about whether the topicality of A changes the alignment. ,,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Pons 2022:460 ,See example (541),,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Pons 2022:465,See example (554),,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Pons 2022:315,See example (381),,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Pons 2022:402,"See example (386), (388)",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Pons 2022:350, 365-366, 370-373","There may be a tripartite alignment (A-erg, S-abs, P-dat) according to the humanness, animacy, and definiteness of the P argument. ",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Pons 2022:398,"The marking for the ergative and genitive cases are different. The marking for the genitive case in this language is the enclitic =ko, while for the ergative case it is the enclitic =i.",,,,,,,
chep1245,Chepang,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Pons 2022:347,"The same ergative marker is used for the instrumental (=i) but not for the comitative (=kusi), according to Table 112.",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
