Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
chac1251,Chacobo,Panoan,GB409_1,Is there an overt marker for the absolutive?,0,Tallman (2018:32),The absolutive is the unmarked case in Chácobo. Full NPs follow ergative-absolutive alignment with the ergative marked by a high tone (=´) and the absolutive left unmarked (∅).,,,0
chac1251,Chacobo,Panoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Tallman (2018:31-32),"Pronouns in Chácobo follow nominative-accusative alignment, not ergative-absolutive. The 1SG pronoun is 'i' in S/A function; accusative is marked by the suffix -a (epenthetic case formative). No ergative marking on pronouns.",,,0
chac1251,Chacobo,Panoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Tallman (2018:31-32),Same as GB409_2. All pronouns follow nominative-accusative alignment. The split is conditioned by nominal type: full NPs = ERG-ABS; pronouns = NOM-ACC.,,,0
chac1251,Chacobo,Panoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Tallman (2018:31-32),Same as GB409_2 and GB409_3. Pronouns are nominative-accusative across all persons.,,,0
chac1251,Chacobo,Panoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Tallman (2018:32),"Full NPs follow ergative-absolutive alignment. The ergative is marked by a high tone clitic (=´) on the NP; the absolutive is unmarked (∅). Example: hóni siri= 'old man=ERG' (Tallman 2018:106, ex. 3.1).",,,1
chac1251,Chacobo,Panoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Tallman (2018:32),No aspect-conditioned split is reported. The ergative-absolutive alignment on full NPs applies across aspectual contexts. Tallman (2018:32) identifies only two conditioning factors for the split: nominal type and post-clause-type/rank position.,,,1
chac1251,Chacobo,Panoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Tallman (2018:32),Same as GB409_6. No split conditioned by aspect. ERG-ABS alignment on full NPs applies in perfective contexts.,,,1
chac1251,Chacobo,Panoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Tallman (2018:32),"No tense-conditioned split reported. Chácobo has a complex graded tense system (up to 9 distinctions), but none of these conditions the ergative alignment on full NPs.",,,1
chac1251,Chacobo,Panoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Tallman (2018:32),Same as GB409_8. ERG-ABS alignment on full NPs applies in non-past tenses.,,,1
chac1251,Chacobo,Panoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Tallman (2018:32),No mood-conditioned split reported. ERG-ABS alignment on full NPs applies in indicative contexts.,,,1
chac1251,Chacobo,Panoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Tallman (2018:32),No mood-conditioned split reported. ERG-ABS alignment on full NPs applies in imperative and hortative contexts as well.,,,1
chac1251,Chacobo,Panoan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Tallman (2018:32),No realis/irrealis-conditioned split reported. ERG-ABS alignment on full NPs applies in realis contexts.,,,1
chac1251,Chacobo,Panoan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Tallman (2018:32),No realis/irrealis-conditioned split reported. ERG-ABS alignment on full NPs applies in irrealis contexts.,,,1
chac1251,Chacobo,Panoan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Tallman (2018:32),No agentivity-conditioned split reported for full NPs.,,,1
chac1251,Chacobo,Panoan,GB409_15,Is there ergative alignment of flagging in the context of a topical A?,1,Tallman (2018:32),No topicality-conditioned split reported for full NPs.,,,1
chac1251,Chacobo,Panoan,GB409_16,Is there ergative alignment of flagging in the context of an animate A?,1,Tallman (2018:32),No animacy-conditioned split reported for full NPs.,,,1
chac1251,Chacobo,Panoan,GB409_17,Is there ergative alignment of flagging in main clauses?,1,Tallman (2018:32),"ERG-ABS alignment on full NPs applies in main clauses. The ergative high tone marker (=´) is attested in main clause declarative constructions ({A,S}-C order).",,,1
chac1251,Chacobo,Panoan,GB409_18,Is there ergative alignment of flagging in complement clauses?,1,Tallman (2018:32; Ch. 7),"Not directly confirmed. The neutralization of alignment in C-{A,S} constructions (post-clause-type position) may affect subordinate clauses, but Chapter 7 details were not fully recoverable. Coded as uncertain.",,,1
chac1251,Chacobo,Panoan,GB409_19,Is there ergative alignment of flagging in relative clauses?,1,Tallman (2018:32; Ch. 7),Not directly confirmed. Same caveat as GB409_18. Coded as uncertain.,,,1
chac1251,Chacobo,Panoan,GB409_20,Is there ergative alignment of flagging in adverbial clauses?,1,Tallman (2018:32; Ch. 7),"Not directly confirmed. Chácobo has a switch-reference system (D{A,S}) operating on {A,S} arguments in subordinate clauses, but whether ERG marking is preserved is not confirmed. Coded as uncertain.",,,1
chac1251,Chacobo,Panoan,GB409_21,Is there ergative alignment of flagging in other non-main clauses?,1,Tallman (2018:32; Ch. 7),Not directly confirmed. Coded as uncertain pending access to Chapter 7.,,,1
chac1251,Chacobo,Panoan,GB409_22,Is there ergative alignment of flagging conditioned by other factors?,1,Tallman (2018:31-32),"Positional neutralization: when the subject {A,S} appears after the clause-type/rank morpheme (C-{A,S} construction), the ergative alignment is neutralized, yielding perfect readings.",,,1
chac1251,Chacobo,Panoan,GB409_23,Is the ergative marker the same as the genitive marker?,1,Tallman (2018:31-32; Ch. 14),"The ergative marker in Chácobo is a high tone clitic (=´), a prosodic/tonal marker, like the ergarive.",,,1
chac1251,Chacobo,Panoan,GB409_24,Is the ergative marker the same as the instrumental/comitative marker?,0,Tallman (2018:31-32),The ergative marker is a high tone clitic (=´). The instrumental and comitative are expressed by distinct morphemes in Chácobo. The tonal ergative marker is not the same as the instrumental or comitative markers.,,,0
