Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
east2447,East Futunan,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,Henderson 2022:108,Unmarked. ,,,0
east2447,East Futunan,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Henderson 2022:79,See table 5,,,1
east2447,East Futunan,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Henderson 2022:79,See table 5,,,1
east2447,East Futunan,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Henderson 2022:79,See table 5,,,1
east2447,East Futunan,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Henderson 2022:108,See example (108),,,1
east2447,East Futunan,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Henderson 2022:26,See example (15),,,1
east2447,East Futunan,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Henderson 2022:108,See example (108),,,1
east2447,East Futunan,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Henderson 2022:108,See example (108),,,1
east2447,East Futunan,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Henderson 2022:108,See example (108),,,1
east2447,East Futunan,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Henderson 2022:108,See example (108),,,1
east2447,East Futunan,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Henderson 2022:53,See example (47),,,1
east2447,East Futunan,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Henderson 2022:108,See example (108),,,1
east2447,East Futunan,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Henderson 2022:in passim,There are no information in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2447,East Futunan,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Henderson 2022:79,See table 5,,,1
east2447,East Futunan,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Henderson 2022:65,See example (56),,,1
east2447,East Futunan,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Henderson 2022:in passim,Not enough information or examples.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
