Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
huli1244,Huli,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,,,
huli1244,Huli,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Lomas, 1988, p. 119",1,"la marca suele ser -me, pero en casos de realación cercana (parentesco) cambia a -handa."
huli1244,Huli,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Lomas, 1988, p. 178",1,
huli1244,Huli,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Lomas, 1988, p. 85, 188",1,"la marca suele ser -me, pero en casos de realación cercana (parentesco) cambia a -handa."
huli1244,Huli,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,"Lomas, 1988, p. 119, 85, 178",1,
huli1244,Huli,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
huli1244,Huli,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Lomas, 1988, p. 169",1,
huli1244,Huli,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,"Lomas, 1988, p. 208",1,
huli1244,Huli,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Lomas, 1988, p. 152",1,
huli1244,Huli,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Lomas, 1988, p. 119",1,
huli1244,Huli,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Lomas, 1988, p. 183",1,
huli1244,Huli,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,"Lomas, 1988, p. 152",1,
huli1244,Huli,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
huli1244,Huli,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Lomas, 1988, p. 119, 198",1,
huli1244,Huli,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
huli1244,Huli,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Lomas, 1988, p. 208",1,
huli1244,Huli,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
huli1244,Huli,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Lomas, 1988, p. 119",1,
huli1244,Huli,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
huli1244,Huli,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,"Lomas, 1988, p. 85, 188",1,
huli1244,Huli,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
huli1244,Huli,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Lomas, 1988, p. 188",1,Las marcas pueden cambiar según la relación con la persona de la que se está hablando en 3p.
huli1244,Huli,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
huli1244,Huli,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Lomas, 1988, p. 370",0,
