Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,"Headland and Healey 1974: 22-23, 27-28",There is an explicit marker for the absolutive case.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Headland and Healey 1974: 25-26, 28",First-person pronouns show ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Headland and Healey 1974: 24-26,Second-person pronouns show ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Headland and Healey 1974: 25, 27, 41",Third-person pronouns show ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Headland and Healey 1974: 22-23, 28-29",Full NP's exhibit ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Headland and Healey 1974: 27, 29-30",Ergative alignment present in the imperfective aspect.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Headland and Healey 1974: 25, 27-29",Ergative alignment occurs in the perfective aspect. ,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Headland and Healey 1974: 27, 29",Ergative alignment occurs in past tense clauses.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Headland and Healey 1974: 22, 25, 27-28",Ergative alignment applied in non-past times.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Headland and Healey 1974: 22-23, 25, 28",Ergative alignment is presented in indicative mode.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Headland and Healey 1974: 25-27,Ergative alignment is presented in non-indicative mode.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Headland and Healey 1974: 25, 28-29",Ergative alignment is present in the realis status.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Headland and Healey 1974: 25, 27-28, 33",Ergative alignment is present in the irrealis status.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Headland and Healey 1974: 25, 28","In the context of an agentive A argument, ergative alignment is observed.",,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Headland and Healey 1974: 36-37,"In the context of a non-agentive argument A, ergative alignment is observed.",,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Headland and Healey 1974: 22-23, 25, 28","In the context of a topical A, ergative alignment is shown.",,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Headland and Healey 1974: 22-24,"In the context of a non-topical A, ergative alignment is shown.",,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Headland and Healey 1974: 22-23, 25",Clauses with animated A arguments exhibit ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Headland and Healey 1974: 22-23,Clauses with non-animated A arguments exhibit ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Headland and Healey 1974: 22, 28-29",Main clauses exhibit ergative alignment.,,,1
casi1235,Casiguran Dumagat Agta,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Headland and Healey 1974: 28-29,Non-main clauses exhibit ergative alignment.,,,1
