Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
bier1244,Bierebo,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Budd 2009: 161, 286",There is not explicit marker for the absolutive case.,
bier1244,Bierebo,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Budd 2009: 110, 154, 161",First-person pronouns show nominative alignment.,
bier1244,Bierebo,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Budd 2009: 110, 161, 164, 197",Second-person pronouns show nominative alignment.,
bier1244,Bierebo,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Budd 2009: 110, 161-163, 287",Third-person pronouns show nominative alignment.,
bier1244,Bierebo,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Budd 2009: 135, 257, 286",Full NP's do not exhibit ergative-absolutive alignment.,
bier1244,Bierebo,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Budd 2009: 176, 353-354",Clauses with imperfective aspect do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Budd 2009: 175, 352",Clauses with perfective aspect do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Budd 2009: 286-287, 351, 422",Past-tense clauses do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Budd 2009: 161, 164, 327, 351 ",Clauses in non-past tense do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Budd 2009: 286, 351, 354, 356",Clauses in indicative mode do not show an ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Budd 2009: 197, 290, 359",Clauses in non-indicative mode do not show an ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,"Budd 2009: 286, 327, 351, 354",Clauses with realis status do not show ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Budd 2009: 327, 351, 359, 417",Clauses with irrealis status do not show ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Budd 2009: 163, 180, 327","In the context of an agentive A argument, ergative alignment is not observed.",
bier1244,Bierebo,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Budd 2009: 165, 192, 297, 309, 437","In the context of a non-agentive argument A, ergative alignment is not observed.",
bier1244,Bierebo,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,"Budd 2009: 286, 296","In the context of a topical A, ergative alignment is not shown.",
bier1244,Bierebo,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Budd 2009: 286, 354, 437","In the context of a non-topical A, ergative alignment is not shown.",
bier1244,Bierebo,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,"Budd 2009: 161-162, 233, 263",Clauses with animated A arguments do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,"Budd 2009: 162-163, 233, 263",Clauses with non-animated A arguments do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,0,"Budd 2009: 163, 282, 286, 356",Main clauses do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,"Budd 2009: 3049-305, 309",Non-main clauses do not exhibit ergative alignment.,
bier1244,Bierebo,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Budd 2009: 193, 344","Ergative marking is not conditioned by any other factor, because its alignment is nominative.",
bier1244,Bierebo,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Budd 2009: 133, 137, 161, 163",The ergative marker does not have the same form as the genitive marker.,
bier1244,Bierebo,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Budd 2009: 152-153, 301",The ergative case does not have the same marker as the instrumental or comitative marker.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
