Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
mang1381,Mangarayi,Gunwinyguan,GB409_1,Is there an overt marker for the absolutive?,0,Merlan 1989:57,This is only valid for neuter nouns
mang1381,Mangarayi,Gunwinyguan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Merlan 1989:xii,
mang1381,Mangarayi,Gunwinyguan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Merlan 1989:xii,
mang1381,Mangarayi,Gunwinyguan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Merlan 1989:xii,
mang1381,Mangarayi,Gunwinyguan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Merlan 1989:56-57,"Only neuter nouns have ergative alignment; however, optionally S can have the same mark as A, making the system nominative-accusative"
mang1381,Mangarayi,Gunwinyguan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,Merlan 1989:58,The neuter class of nouns groups all inanimate-like entities.
mang1381,Mangarayi,Gunwinyguan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Merlan 1989:58,The neuter class of nouns groups all inanimate-like entities.
mang1381,Mangarayi,Gunwinyguan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,,
mang1381,Mangarayi,Gunwinyguan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
mang1381,Mangarayi,Gunwinyguan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,
mang1381,Mangarayi,Gunwinyguan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Merlan 1989:57,
