Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment,curated,curated_comment,final_value
guru1261,Gurung,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Glover, 1974, pp. 70-74",0,,0,"Original value ? resolved to 0. Absolutive (S and O) is zero-marked in Gurung. Table 4 (p.74) and Fig.14 (p.77) show Intransitive Subject: UM (unmarked) and Transitive Object: UM (unmarked). Glover describes the system as ""nominative-ergative"" (p.71), meaning A is ergative-marked and S/O are zero. Case table (p.70): Ergative=-d, with no absolutive suffix listed. Source: Glover 1974:70-74.",0
guru1261,Gurung,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Glover, 1974, pp. 82, 85",1,,1,"Original value ? resolved to 1. 1sg pronoun Qa/Ia- takes ergative -d in transitive clauses: ""Qa-d ... ax-ca-syo"" (me-ER not-eat-EM, p.82 ex.42); ""Ia-dl ... bo-la"" (me-ER take-PLUP, p.77 ex.24). Source: Glover 1974:82,77.",1
guru1261,Gurung,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Glover, 1974, pp. 85, 30",1,,1,"Original value ? resolved to 1. 2sg pronoun kxl takes ergative -d in transitive and imperative contexts: ""kxl-d ax-bl-le tl-Ql-d"" (you-ER ... stay-IM, p.85 ex.49); also kxl-d in ex.85 p.85. Source: Glover 1974:85,30.",1
guru1261,Gurung,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Glover, 1974, pp. 77-78",1,,1,"Original value ? resolved to 1. Ergative marking occurs in non-past (imperfective) tenses. Ex.26 (p.77-78): ""Ixy6-d ca ka'gada Ixyo-m"" (we.INCL-ER that paper look.at-NP) with nonpast -m. Ex.27 (p.78): ""bomw~-d puja la-m"" (Brahmin-ER worship do-NP) with nonpast -m. Source: Glover 1974:77-78.",1
guru1261,Gurung,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Glover, 1974, pp. 77, 82-83",1,,1,"Original value ? resolved to 1. Ergative marking occurs in perfective/past tenses. Ex.24 (p.77): ""Ia-dl ... bo-la"" (me-ER take-PLUP); ex.43 (p.83): ""a99a-d cha'b thaudi-f"" (office-ER stamp affix-PA). Source: Glover 1974:77,82-83.",1
guru1261,Gurung,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Glover, 1974, pp. 77-83",1,,1,"Original value ? resolved to 1. Ergative marking occurs consistently in past tenses. Multiple examples with past (-l, -i) and pluperfect (-la): ex.24 ""Ia-dl bo-la"" (me-ER take-PLUP, p.77); ex.43 ""a99a-d thaudi-f"" (office-ER affix-PA, p.83). Source: Glover 1974:77-83.",1
guru1261,Gurung,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Glover, 1974, pp. 77-78",1,,1,"Original value ? resolved to 1. Ergative marking occurs in non-past tenses. Ex.26 (p.77-78): ""Ixy6-d ka'gada Ixyo-m"" (we.INCL-ER paper look.at-NP); ex.27 (p.78): ""bomw~-d puja la-m"" (Brahmin-ER do-NP). Both use nonpast suffix -m with ergative-marked agent. Source: Glover 1974:77-78.",1
guru1261,Gurung,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Glover, 1974, p. 213",1,,,,1
