Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kari1311,Karitiana,Tupian,GB409_1,Is there an overt marker for the absolutive?,"Everett, 2006, p. 449",1,"""These consist of an absolutive agreement marker suffixed with the reflexive marker -/ʔasoːta"""
kari1311,Karitiana,Tupian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg
kari1311,Karitiana,Tupian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Everett, 2006, p. 339",0,erg es unmarked
kari1311,Karitiana,Tupian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Everett, 2006, p. 339",0,erg es unmarked
