Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
isin1239,Isinai,Austronesian,GB409_1,"Perlawan, 2015, p. 56",1,,,,1
isin1239,Isinai,Austronesian,GB409_2,"Perlawan, 2015, p. 54",1,,,,1
isin1239,Isinai,Austronesian,GB409_3,"Perlawan, 2015, p. 55",1,,,,1
isin1239,Isinai,Austronesian,GB409_4,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_5,"Perlawan, 2015, p. 31-56",1,,,,1
isin1239,Isinai,Austronesian,GB409_6,"Perlawan, 2015, p. 55",1,,,,1
isin1239,Isinai,Austronesian,GB409_7,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_8,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_9,"Perlawan, 2015, p. 25",1,,,,1
isin1239,Isinai,Austronesian,GB409_10,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_11,"Perlawan, 2015, p. 35",1,,,,1
isin1239,Isinai,Austronesian,GB409_12,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_13,"Perlawan, 2015, p. 55",1,,,,1
isin1239,Isinai,Austronesian,GB409_14,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_15,"Perlawan, 2015, p. 31",0,,,,0
isin1239,Isinai,Austronesian,GB409_16,"Perlawan, 2015, p. 31",1,,,,1
isin1239,Isinai,Austronesian,GB409_17,"Perlawan, 2015, p. 31",0,,,,0
isin1239,Isinai,Austronesian,GB409_18,"Perlawan, 2015, p. 37",1,,,,1
isin1239,Isinai,Austronesian,GB409_19,"Perlawan, 2015, p. 32",1,,,,1
isin1239,Isinai,Austronesian,GB409_20,"Perlawan, 2015, p. 37",1,,,,1
isin1239,Isinai,Austronesian,GB409_21,"Perlawan, 2015",0,,,,0
isin1239,Isinai,Austronesian,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
isin1239,Isinai,Austronesian,GB409_23,"Perlawan, 2015, p. 18",0,La marca -di del absolutivo sí coincide con el genitivo,,,0
isin1239,Isinai,Austronesian,GB409_24,"Perlawan, 2015, p. 32",0,,,,0
