Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
darm1243,Darma,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,Willis 2019:157,unmarked,,,1
darm1243,Darma,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Willis 2019:165,See Table 60,,,1
darm1243,Darma,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Willis 2019:165,See Table 60,,,1
darm1243,Darma,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Willis 2019:165,See Table 60,,,1
darm1243,Darma,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Willis 2019:148,See example (10),,,1
darm1243,Darma,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Willis 2019:377,See example (27),,,1
darm1243,Darma,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Willis 2019:148,See example (10),,,1
darm1243,Darma,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Willis 2019:377,See example (27),,,1
darm1243,Darma,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Willis 2019:331,See example (31),,,1
darm1243,Darma,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Willis 2019:148,See example (10),,,1
darm1243,Darma,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Willis 2019:301,See example (55),,,1
darm1243,Darma,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Willis 2019:377,See example (27),,,1
darm1243,Darma,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Willis 2019:301,See example (55),,,1
darm1243,Darma,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Willis 2019:331,See example (31),,,1
darm1243,Darma,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Willis 2019:in passim,No mention nor evidence of a split in case marking based on the agentive A or non-agentive A distinction. Examples in the source do not offer evidence of such a split in agentives verbs. ,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
darm1243,Darma,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Willis 2019:379,See example (1),,,1
darm1243,Darma,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Willis 2019:377,No mention nor evidence of a split in case marking based on topical A and non-topical A.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
darm1243,Darma,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Willis 2019:148,See example (10),,,1
darm1243,Darma,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Willis 2019:150,See example (13),,,1
darm1243,Darma,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Willis 2019:331,See example (31),,,1
darm1243,Darma,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Willis 2019:121; 330,"See example (44), (28)",,,1
darm1243,Darma,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Willis 2019:in passim,,,,0
darm1243,Darma,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Willis 2019:203,possessive =gu,,,0
darm1243,Darma,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Willis 2019:159; 161,"Instrumental =su, Comitative =ru",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
