Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment
nalc1240,Nalca,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,Svärd 2013:22,
nalc1240,Nalca,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Svärd 2013:27,The pronouns seem to exhibit a nominative-accusative alignment.
nalc1240,Nalca,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Svärd 2013:27,The pronouns seem to exhibit a nominative-accusative alignment.
nalc1240,Nalca,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Svärd 2013:27,The pronouns seem to exhibit a nominative-accusative alignment.
nalc1240,Nalca,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Svärd 2013:22,
nalc1240,Nalca,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Svärd 2013:13,Found in example (13)a.
nalc1240,Nalca,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Svärd 2013:17,Found in example (17)d.
nalc1240,Nalca,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Svärd 2013:22,Found in example (29)a.
nalc1240,Nalca,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Svärd 2013:13,Found in example (13)a.
nalc1240,Nalca,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Svärd 2013:in passim,There is no explicit mention or examples found.
nalc1240,Nalca,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Svärd 2013:in passim,There is no explicit mention or examples found.
nalc1240,Nalca,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Svärd 2013:in passim,There is no explicit mention or examples found.
nalc1240,Nalca,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Svärd 2013:in passim,There is no explicit mention or examples found.
nalc1240,Nalca,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Svärd 2013:22,Found in example (29)b.
nalc1240,Nalca,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Svärd 2013:in passim,There is no explicit mention or examples found.
nalc1240,Nalca,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Svärd 2013:16, 29",Found in example (17)d.
nalc1240,Nalca,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Svärd 2013:29,
nalc1240,Nalca,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Svärd 2013:22,
nalc1240,Nalca,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Svärd 2013:in passim,There is no explicit mention or examples found.
nalc1240,Nalca,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Svärd 2013:22,
nalc1240,Nalca,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Svärd 2013:in passim,
nalc1240,Nalca,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Svärd 2013:27,In pronouns there is not ergative-absolutive alignment
nalc1240,Nalca,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Svärd 2013:22, 29",
nalc1240,Nalca,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Svärd 2013:in passim,
