Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
akun1241,Akuntsu,Language isolate,GB409_1,Is there an overt marker for the absolutive?,1,Aragon 2014: 204,There is an explicit marker for the absolutive case.,
akun1241,Akuntsu,Language isolate,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Aragon 2014: 178 - 182,The first person uses a free form (on) for A and a bound form (o=) for both S and P.,
akun1241,Akuntsu,Language isolate,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Aragon 2014: 178 - 182,The second person uses a free form (en) for A and a bound form (e=) for S and P.,
akun1241,Akuntsu,Language isolate,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Aragon 2014: 178 - 182, 204 - 206","In the third person, the S and P arguments do not share an absolutive marker; instead, each of the three main grammatical roles (A, S, P) receives a distinct marker.",
akun1241,Akuntsu,Language isolate,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Aragon 2014: 153, 194, 198, 202","Full NP's do not show case markers or adpositions indicating ergative alignment. Grammatical relations are expressed through pronouns, and when full NPs occur they carry no morphological marking of grammatical role.",
akun1241,Akuntsu,Language isolate,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Aragon 2014: 223 - 224,"In clauses with the imperfective aspect (marked by the suffix -ɾa), the S argument is marked by an absolutive clitic, while the A argument is marked by an independent ergative pronoun. ",
akun1241,Akuntsu,Language isolate,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Aragon 2014: 222 - 231,"The perfective aspect is expressed by the unmarked verb form, which still shows ergative alignment in pronominal marking.",
akun1241,Akuntsu,Language isolate,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Aragon 2014: 222 ,"The past events are expressed with the unmarked verb form, and ergative-absolutive alignment is maintained.",
akun1241,Akuntsu,Language isolate,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Aragon 2014: 226 - 228,The future clauses maintain ergative alignment.,
akun1241,Akuntsu,Language isolate,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Aragon 2014: 233,The ergative alignment is present in the indicative mood. ,
akun1241,Akuntsu,Language isolate,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Aragon 2014: 234 - 235,"The ergative alignment is present in at least one non-indicative mood, specifically the interrogative.The imperative mood, however, shifts to a nominative-accusative pattern.",
akun1241,Akuntsu,Language isolate,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Aragon 2014: 232,The ergative alignment occurs in realis clauses. ,
akun1241,Akuntsu,Language isolate,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Aragon 2014: 226, 334",The ergative alignment appears in irrealis contexts like future tense and questions.,
akun1241,Akuntsu,Language isolate,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Aragon 2014:  182, 286","The agentive A arguments take ergative pronouns, while S and P take absolutive clitics.",
akun1241,Akuntsu,Language isolate,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Aragon 2014: 196, 202","The non-agentive A arguments, such as experiencer subjects, take ergative pronouns, while S and P take absolutive clitics. ",
akun1241,Akuntsu,Language isolate,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Aragon 2014: 181-182,The topical A arguments (typically 1st or 2nd person pronouns) take independent ergative pronouns.,
akun1241,Akuntsu,Language isolate,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Aragon 2014: 254-255,The ergative alignment is maintained when A is non-topical.,
akun1241,Akuntsu,Language isolate,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Aragon 2014: 181-182, 201","The ergative alignment occurs with animated pronominal A (humans). When A is a full NP, case marking is zero, showing neutral alignment. Ergativity exists but is limited to pronouns.",
akun1241,Akuntsu,Language isolate,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Aragon 2014: 153,"The ergative alignment does not occur with inanimate A arguments. Ergativity is limited to pronominal arguments, so inanimate NPs follow a neutral alignment.",
akun1241,Akuntsu,Language isolate,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Aragon 2014: 181-182,The ergative alignment consistently appears in main clauses.,
akun1241,Akuntsu,Language isolate,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Aragon 2014: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
akun1241,Akuntsu,Language isolate,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Aragon 2014: 153, 179, 205, 234","Akuntsú shows split ergativity based on pronoun status, person, patient animacy, and verbal mood.",
akun1241,Akuntsu,Language isolate,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Aragon 2014: 160, 178-179, 201, 204",The marker for the ergative and genitive cases is not the same.,
akun1241,Akuntsu,Language isolate,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Aragon 2014: 154, 156, 159",The ergative case does not have the same marker as the instrumental or comitative marker.,
