Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
cuti1242,Katukina-Kanamari,Katukina,GB409_1,Is there an overt marker for the absolutive?,0,dos Anjos 2011:283,unmarked,
cuti1242,Katukina-Kanamari,Katukina,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,dos Anjos 2011:141-142,There is no mention nor evidence of a split based on pronouns,
cuti1242,Katukina-Kanamari,Katukina,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,dos Anjos 2011:141-142,There is no mention nor evidence of a split based on pronouns,
cuti1242,Katukina-Kanamari,Katukina,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,dos Anjos 2011:141-142,There is no mention nor evidence of a split based on pronouns,
cuti1242,Katukina-Kanamari,Katukina,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Queixalos 2007:8,See example (25),
cuti1242,Katukina-Kanamari,Katukina,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Queixalos 2007:,There are no examples in the source in order to corroborate this feature.,
cuti1242,Katukina-Kanamari,Katukina,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Queixalos 2007:8,See example (25),
cuti1242,Katukina-Kanamari,Katukina,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Queixalos 2007:8,See example (25),
cuti1242,Katukina-Kanamari,Katukina,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,dos Anjos 2011:138,See example (212),
cuti1242,Katukina-Kanamari,Katukina,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Queixalos 2007:8,See example (25),
cuti1242,Katukina-Kanamari,Katukina,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Queixalos 2007: 11,See example (44),
cuti1242,Katukina-Kanamari,Katukina,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Queixalos 2007:10,See example (32),
cuti1242,Katukina-Kanamari,Katukina,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,dos Anjos 2011:285,See example (486),
cuti1242,Katukina-Kanamari,Katukina,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Queixalos 2007:8,See example (25),
cuti1242,Katukina-Kanamari,Katukina,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,dos Anjos 2011:209,See example (278a),
cuti1242,Katukina-Kanamari,Katukina,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Queixalos 2007: 10,See example (39),
cuti1242,Katukina-Kanamari,Katukina,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Queixalos 2007: 10,"See example (37), (38)",
cuti1242,Katukina-Kanamari,Katukina,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Queixalos 2007: in passim,The examples in the source refer to animate entities. ,
cuti1242,Katukina-Kanamari,Katukina,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Queixalos 2007:in passim,There are no examples that mark inanimate entities as ergative.,
cuti1242,Katukina-Kanamari,Katukina,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Queixalos 2007:8,See example (25),
cuti1242,Katukina-Kanamari,Katukina,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Queixalos 2007:13; dos Anjos 2011:366,"See example (50), (372)",
cuti1242,Katukina-Kanamari,Katukina,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Queixalos 2007:, dos Anjos 2011:in passim",,
cuti1242,Katukina-Kanamari,Katukina,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Queixalos 2007:5, dos Anjos 2011:220",,
cuti1242,Katukina-Kanamari,Katukina,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"dos Anjos 2011:157,220","See examples (257), (258)",
