Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
jaru1254,Jaru,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,"Tsunoda, 1981, p. 165",1,
jaru1254,Jaru,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Tsunoda, 1981, p. 165",1,
jaru1254,Jaru,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Tsunoda, 1981, p. 240",1,
jaru1254,Jaru,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Tsunoda, 1981, p. 165, 240, 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Tsunoda, 1981, p. 240",1,
jaru1254,Jaru,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Tsunoda, 1981, p. 239",1,
jaru1254,Jaru,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Tsunoda, 1981, p. 147",1,
jaru1254,Jaru,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Tsunoda, 1981, p. 147",1,
jaru1254,Jaru,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Tsunoda, 1981, p. 147",1,
jaru1254,Jaru,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Tsunoda, 1981, p. 228",1,
jaru1254,Jaru,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Tsunoda, 1981, p. 228",1,
jaru1254,Jaru,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Tsunoda, 1981, p. 257",1,
jaru1254,Jaru,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Tsunoda, 1981, p. 248",1,
jaru1254,Jaru,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
jaru1254,Jaru,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
jaru1254,Jaru,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Tsunoda, 1981, p. 66",0,
jaru1254,Jaru,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Tsunoda, 1981, p. 155",0,
