Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
amam1246,Amam,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,"Aki and Pennington 2013: 40, 45",There is no explicit marker for the absolutive case.,,"Amam (amam1246, Trans-New Guinea, Papua New Guinea) shows tense/aspect-conditioned split ergativity documented in Aki and Pennington (2013). Ergative-absolutive alignment occurs in past/perfective and future/irrealis contexts; nominative-accusative alignment in present/imperfective (GB409_6=0). Additionally, a topicality split: when A is topical, the ergative marker is absent (GB409_16=0). Ergative absent in subordinate clauses (GB409_21=0). All 24 features verified against Aki and Pennington (2013). Glottocode amam1246 is correct.",0
amam1246,Amam,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Aki and Pennington 2013: 10-11, 14-15, 30, 32",First-person pronouns show ergative-absolutive alignment.,,,1
amam1246,Amam,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Aki and Pennington 2013: 11, 14, 29-30",Second-person pronouns show ergative-absolutive alignment.,,,1
amam1246,Amam,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Aki and Pennington 2013: 11, 14-15, 28, 30",Third-person pronouns show ergative-absolutive alignment.,,,1
amam1246,Amam,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Aki and Pennington 2013: 38-40, 45",Full NPs exhibit ergative-absolutive alignment.,,,1
amam1246,Amam,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Aki and Pennington 2013: 32, 34, 38",NOM-ACC alignment occurs in imperfective/present tense clauses (tense/aspect-conditioned split).,,,0
amam1246,Amam,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Aki and Pennington 2013: 15, 33, 38-39",Ergative-absolutive alignment occurs in perfective aspect clauses.,,,1
amam1246,Amam,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Aki and Pennington 2013: 15, 28, 31, 39",Ergative-absolutive alignment in past tense clauses.,,,1
amam1246,Amam,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Aki and Pennington 2013: 30, 32, 38",Future tense aligns with past/perfective using the ergative system; present uses NOM-ACC.,,,1
amam1246,Amam,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Aki and Pennington 2013: 15, 32, 38-39","Ergative alignment in the indicative mood, conditioned by tense/aspect.",,,1
amam1246,Amam,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Aki and Pennington 2013: 49, 52",Ergative alignment attested in interrogative mood; imperative lacks ergative marking.,,,1
amam1246,Amam,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Aki and Pennington 2013: 15, 32, 35, 39","Ergative alignment in realis status, conditioned by tense/aspect.",,,1
amam1246,Amam,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Aki and Pennington 2013: 30, 35, 45-46",Ergative-absolutive alignment in irrealis (future/hypothetical) status.,,,1
amam1246,Amam,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Aki and Pennington 2013: 15, 39",Ergative alignment applies to agentive A arguments.,,,1
amam1246,Amam,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Aki and Pennington 2013: 39, 41",Ergative alignment applies to some non-agentive A arguments.,,,1
amam1246,Amam,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Aki and Pennington 2013: 38-39,The ergative marker is obligatorily absent when A is topical (topic-drop/antipassive-like pattern).,,,0
amam1246,Amam,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Aki and Pennington 2013: 38-39,Ergative marking is mandatory when A is non-topical/focused.,,,1
amam1246,Amam,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Aki and Pennington 2013: 15, 39",Ergative alignment applies to animate A arguments.,,,1
amam1246,Amam,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Aki and Pennington 2013: 39,Ergative-absolutive alignment applies to inanimate A arguments.,,,1
amam1246,Amam,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Aki and Pennington 2013: 14-15, 38-39, 52",Ergative-absolutive alignment occurs in main clauses.,,,1
amam1246,Amam,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,Aki and Pennington 2013: 59,Ergative-absolutive alignment is absent in subordinate clauses.,,,0
amam1246,Amam,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Aki and Pennington 2013: 38-39,Ergative alignment is conditioned by pragmatic factors: topicality and subject focus determine marker presence.,,,1
amam1246,Amam,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Aki and Pennington 2013: 14, 27, 38, 41-42",Ergative and genitive markers are distinct morphemes.,,,0
amam1246,Amam,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Aki and Pennington 2013: 38, 43-44",Ergative and instrumental/comitative markers are distinct morphemes.,,,0
