Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
lemb1266,Lembena,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,Heineman 1998:86,,,,0
lemb1266,Lembena,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Heineman 1998:51,Example 101,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Heineman 1998:77,Example 217,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Heineman 1998:50,Example 96,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Heineman 1998:51,Example 101,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Heineman 1998:44,Example 83,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Heineman 1998:93,Example 274,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Heineman 1998:75,Example 212,,"Value 1 retained pending deeper verification. Cited Example 212 (Heineman 1998:75) is a negative finite manner VP: ""He is not pretending to be angry"" (he=ERG anger grow.big-SIML NEG AUX-PRT-3sDECL). This shows ERG in a negative declarative context, which is not prototypically irrealis. An example in a conditional or counterfactual context would be more appropriate for irrealis coding. Note: this PDF uses non-standard font encoding that shifts all extracted digits by -1; example numbers in raw extraction appear as N-1 of their true value.",1
lemb1266,Lembena,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Heineman 1998:62,Example 143,,Value 1 retained. Cited Example 143 (Heineman 1998:62). PDF text extraction is heavily garbled due to custom font encoding; example numbers shift by -1 in extraction. Could not independently verify Example 143 content; page content around that area covers VP structure sections. Researcher should directly verify which verb type (non-agentive transitive) is illustrated.,1
lemb1266,Lembena,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,,,"No source reference provided. Value 1 not independently verified. Lembena (Trans-New Guinea, Heineman 1998) appears to have consistent ergative marking not conditioned by topicality, based on the grammar's general presentation, but no specific example was found. Recommend adding a source citation.",1
lemb1266,Lembena,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,,,No source reference provided. See comment for GB409_16. Recommend adding a source citation.,1
lemb1266,Lembena,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Heineman 1998:55,Example 119,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Heineman 1998:44,Example 82,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Heineman 1998:91,Example 263,,,1
lemb1266,Lembena,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,"No source reference provided. Value 0 (no conditioning) may be correct for Lembena, which appears to have consistent ergative marking. However, could not fully verify given PDF encoding issues. Recommend adding a source citation from the grammar's case-marking section.",0
lemb1266,Lembena,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,,No source reference provided. Value 0 (ERG ≠ GEN) is typologically plausible for Lembena; the ergative clitic appears to be =l` (Heineman 1998 passim) while genitive constructions use different morphology. Could not fully verify due to PDF encoding issues. Recommend adding a source citation.,0
lemb1266,Lembena,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Heineman 1998:44,Example 82,,,1
