Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
pemo1248,Pemón,Cariban,GB409_1,Is there an overt marker for the absolutive?,0,Swiggers 2009:108,,,,0
pemo1248,Pemón,Cariban,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Swiggers 2009:120,146",,,,0
pemo1248,Pemón,Cariban,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Swiggers 2009:120,146",,,,0
pemo1248,Pemón,Cariban,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Swiggers 2009:120,146",,,,0
pemo1248,Pemón,Cariban,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Swiggers 2009:108,"See examples (46), (47)",,,1
pemo1248,Pemón,Cariban,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Swiggers 2009:199,See examples (268),,,1
pemo1248,Pemón,Cariban,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Swiggers 2009:155-156,See example (161),,,1
pemo1248,Pemón,Cariban,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Swiggers 2009:108, 147","See examples (46), (47). The ergative is marked in the general past tense. The near past, distant past, and immediate future tenses follow the accusative pattern. See examples (138-140)",,,1
pemo1248,Pemón,Cariban,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Swiggers 2009:153,See example (156a),,,1
pemo1248,Pemón,Cariban,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Swiggers 2009:108,"See examples (46), (47)",,,1
pemo1248,Pemón,Cariban,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Swiggers 2009:151,See example (148),,,1
pemo1248,Pemón,Cariban,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Swiggers 2009:108,"See examples (46), (47)",,,1
pemo1248,Pemón,Cariban,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Swiggers 2009:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on realis-irrealis status of the A argument.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pemo1248,Pemón,Cariban,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Swiggers 2009:108,"See examples (46), (47)",,,1
pemo1248,Pemón,Cariban,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Swiggers 2009:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the agentivity of the A argument.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pemo1248,Pemón,Cariban,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Swiggers 2009:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pemo1248,Pemón,Cariban,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Swiggers 2009:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pemo1248,Pemón,Cariban,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Swiggers 2009:108,"See examples (46), (47)",,,1
pemo1248,Pemón,Cariban,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Swiggers 2009:141,See examples (129),,,1
pemo1248,Pemón,Cariban,GB409_20,Is there ergative alignment of flagging in main clauses?,0,Swiggers 2009:108,"See examples (46), (47)",,,0
pemo1248,Pemón,Cariban,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Swiggers 2009:199,See examples (267-268),,,1
pemo1248,Pemón,Cariban,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Swiggers 2009:108,,,,0
pemo1248,Pemón,Cariban,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Swiggers 2009:101-104,,,,0
pemo1248,Pemón,Cariban,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Swiggers 2009:184,,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
