Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
lepc1244,Lepcha,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,,
lepc1244,Lepcha,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,,
lepc1244,Lepcha,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Plaisier 2010:127-128,"There is marking of A in a construction with a transitive verb wtih two animate arguments (one agent, one patient), which, if compared to a prototypical intranstivie construction, creates an ergative-absolutive alignment. However, there is marking of the agent regardless of the transitivity of the verb, i.e. there is marking of A and S (when it is more prototypically agentive); in this case, it would not form an ergative-absolutive alignment."
lepc1244,Lepcha,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,,
lepc1244,Lepcha,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Plaisier 2010:127-128,
