Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
boun1245,Ku Waru,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,Merlan and Rumsey 1991: 337,There is no explicit marker for the absolutive case.,,"Ku Waru (boun1245, Trans-New Guinea, Papua New Guinea) shows ergative alignment documented in Merlan and Rumsey (1991). The ergative marker is -n(i) (optionally reduced to -n). All 24 features verified against Merlan and Rumsey (1991). Key updates from original annotation: GB409_16 changed '?'→1 and GB409_17 changed '?'→1. No topicality-based split is documented; the optional marker drop is phonologically/discourse conditioned. GB409_15=1 confirmed via Type IV clause constructions (p.339: experiencer arguments with hunger-ERG, sleep-ERG). GB409_22=1 confirmed: five-way clause type distinction constitutes additional conditioning. Glottocode boun1245 is correct; the previously proposed kuwa1244 does not exist in Glottolog.",0
boun1245,Ku Waru,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Merlan and Rumsey 1991: 333, 335, 337",First-person pronouns show ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Merlan and Rumsey 1991: 331, 335, 337",Second-person pronouns show ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Merlan and Rumsey 1991: 333, 335, 337",Third-person pronouns show ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Merlan and Rumsey 1991: 337-339,Full NPs exhibit ergative-absolutive alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Merlan and Rumsey 1991: 327-328, 339",Clauses with imperfective aspect exhibit ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Merlan and Rumsey 1991: 327-328, 337, 340",Clauses with perfective aspect exhibit ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Merlan and Rumsey 1991: 327-328, 337",Past-tense clauses exhibit ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Merlan and Rumsey 1991: 327, 330, 333, 339",Clauses in non-past tense exhibit ergative alignment.,,,1
boun1245,Ku Waru,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Merlan and Rumsey 1991: 327,Clauses in indicative mood show ergative alignment.,,,1
