Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_1,Is there an overt marker for the absolutive?,1,"Miyaoka, 2012: 732",Only in possessed nouns.,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Miyaoka, 2012: 382-383",,,,0
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Miyaoka, 2012: 382-383",,,,0
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Miyaoka, 2012: 382-383","The ergative case is named ""relative case"" in the source.",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Miyaoka, 2012: 709, 732, 741","Full NPs that refer to first or second person participants are flagged with locative case, instead of absolutive or ergative case (p. 731).",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Miyaoka, 2012: 732","Verbs are not obligatorily marked for aspect. No mention nor evidence of an aspect-based split in case marking. See, for instance, the clause with an imperfective interpretation in (3).",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Miyaoka, 2012: 741","Verbs are not obligatorily marked for aspect. No mention nor evidence of an aspect-based split in case marking. See, for instance, the clause with a perfective interpretation in (9).",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Miyaoka, 2012: 1215","Verbs are not obligatorily marked for past tense. No mention nor evidence of a tense-based split in case marking. See in example (21) a clause with a past-tense reading, an absolutive argument aipa-ni ('partner-ABS') and an ergative argument aipa-an ('partner-ERG').",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Miyaoka, 2012: 737",Verbs are not obligatorily marked for non-past tense. No mention nor evidence of a tense-based split in case marking. See an example with a present-tense reading and ergative alignment in (1).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Miyaoka, 2012: 741",No mention nor evidence of a mood-based split in case marking. See example (9).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Miyaoka, 2012: 1359",No mention nor evidence of a mood-based split in case marking. See example (39) in interrogative mood.,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Miyaoka, 2012: 741",No mention nor evidence of a split in case marking based on the realis-irrealis distinction. See example (9).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Miyaoka, 2012: in passim","No mention nor evidence of a split in case marking based on the realis-irrealis distinction. Examples in the source do not offer evidence of such a split in negated clauses, in the future tense or in the optative mood.",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Miyaoka, 2012: 741",See example (9).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Miyaoka, 2012:732, 737",See examples (3) in p. 732 and (1) in p. 737.,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Miyaoka 2012: in passim,The grammar exhaustively describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Miyaoka 2012: in passim,The grammar exhaustively describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Miyaoka 2012: 741,See example (9).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Miyaoka 2012:329,See example (209b).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Miyaoka 2012: 741,See example (9).,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,"Miyaoka 2012:532, 540, 853-855","In nominal clauses S/A arguments take the ergative marker while the P argument is unmarked (accusative alignment). In relative clauses, when an A or P argument is relativized, the other core argument that remains inside the relative clause takes the ergative marker. When an oblique argument is relativized, the S/A argument inside the relative clause takes the ergative marker (accusative alignment).",,,0
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Miyaoka 2012:709, 754","There is a number-based split: the distinction between absolutive and ergative only occurs in the third person singular, while they are not marked in the dual and plural numbers. Another split occurs if the P argument ""is backgrounded, is indefinite or only partly affected"": P takes ablative case while the A argument takes absolutive case (forming an accusative alignment). This is considered an antipassivization by the source, but the verb does not take an antipassive marker in this context.",,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Miyaoka 2012:737,,,,1
cent2127,Central Alaskan Yupik,Eskimo-Aleut,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Miyaoka, 2012:753, 953",,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
